instance,seed,cost,time
Golden_1,1,99999,99999
Golden_1,2,99999,99999
Golden_1,3,99999,99999
Golden_1,4,99999,99999
Golden_1,5,99999,99999
Golden_1,6,99999,99999
Golden_1,7,99999,99999
Golden_1,8,99999,99999
Golden_1,9,99999,99999
Golden_1,10,99999,99999
Golden_10,1,99999,99999
Golden_10,2,99999,99999
Golden_10,3,99999,99999
Golden_10,4,99999,99999
Golden_10,5,99999,99999
Golden_10,6,99999,99999
Golden_10,7,99999,99999
Golden_10,8,99999,99999
Golden_10,9,99999,99999
Golden_10,10,99999,99999
Golden_11,1,99999,99999
Golden_11,2,99999,99999
Golden_11,3,99999,99999
Golden_11,4,99999,99999
Golden_11,5,99999,99999
Golden_11,6,99999,99999
Golden_11,7,99999,99999
Golden_11,8,99999,99999
Golden_11,9,99999,99999
Golden_11,10,99999,99999
Golden_12,1,99999,99999
Golden_12,2,99999,99999
Golden_12,3,99999,99999
Golden_12,4,99999,99999
Golden_12,5,99999,99999
Golden_12,6,99999,99999
Golden_12,7,99999,99999
Golden_12,8,99999,99999
Golden_12,9,99999,99999
Golden_12,10,99999,99999
Golden_13,1,99999,99999
Golden_13,2,99999,99999
Golden_13,3,99999,99999
Golden_13,4,99999,99999
Golden_13,5,99999,99999
Golden_13,6,99999,99999
Golden_13,7,99999,99999
Golden_13,8,99999,99999
Golden_13,9,99999,99999
Golden_13,10,99999,99999
Golden_14,1,99999,99999
Golden_14,2,99999,99999
Golden_14,3,99999,99999
Golden_14,4,99999,99999
Golden_14,5,99999,99999
Golden_14,6,99999,99999
Golden_14,7,99999,99999
Golden_14,8,99999,99999
Golden_14,9,99999,99999
Golden_14,10,99999,99999
Golden_15,1,99999,99999
Golden_15,2,99999,99999
Golden_15,3,99999,99999
Golden_15,4,99999,99999
Golden_15,5,99999,99999
Golden_15,6,99999,99999
Golden_15,7,99999,99999
Golden_15,8,99999,99999
Golden_15,9,99999,99999
Golden_15,10,99999,99999
Golden_16,1,99999,99999
Golden_16,2,99999,99999
Golden_16,3,99999,99999
Golden_16,4,99999,99999
Golden_16,5,99999,99999
Golden_16,6,99999,99999
Golden_16,7,99999,99999
