instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
c50_16fsmf,5,2720.4332216834937,2743.4426233476165,8.792191498327486e-5,193.95600008964539,192,192,3948,194.15599989891052
c50_15fsmfd,3,2634.9634162808275,2634.9634162808275,60.59240190099988,47.52999997138977,226,1933,1264,214.1340000629425
c50_14fsmd,4,603.2128692192839,603.2128692192839,78.62644960799818,27.835000038146973,146,3193,2121,245.65700006484985
c50_13fsmf,2,2406.360716084736,2414.6579596394868,8.650160844379892e-5,273.10000014305115,3234,3234,4521,273.10000014305115
c50_15fsmd,1,999.8235500207556,999.8235500207556,11.595340471626034,208.35599994659424,2512,1789,2258,316.414999961853
c100_19fsmd,1,1105.4392363175057,1118.250256728371,3.6143404977854622e-6,316.8939998149872,566,566,3948,316.9849998950958
c75_17fsmf,2,1746.4360649008515,1754.118369204906,5.27872983851868e-5,333.23099994659424,2000,2000,5354,333.23099994659424
c100_20fsmf,5,4046.2991425336027,4079.3135002274576,6.36998286847533e-5,384.018000125885,5,5,4656,384.01900005340576
c50_15fsmfd,4,2634.963416280793,2635.209913262741,1.4326526113119717e-5,214.54500007629395,1413,1413,1213,214.54900002479553
c100_19fsmfd,3,8666.832565423298,8666.832565423298,0.17378169631174906,390.8159999847412,835,66,5464,467.0609998703003
c50_16fsmfd,1,3168.9153792127963,3179.2618959869633,0.0,274.0149998664856,26,26,1382,274.0149998664856
c50_14fsmd,5,603.2128692192395,603.2128692192395,99.62219941054025,0.5269999504089355,4,2664,1972,245.84799981117249
c50_13fsmf,3,2406.360716084737,2416.4028142418056,9.846801739357349e-5,272.98799991607666,3727,3727,3652,272.98799991607666
c75_18fsmd,4,1800.8016119675485,1800.8016119675485,2.4576901096632287,499.53200006484985,554,914,3753,592.1690001487732
brandaoN3fsmd,4,2234.570816251772,2244.234534457526,5.6357345255824895e-5,593.8440001010895,53,53,3486,593.8450000286102
c100_19fsmd,2,1105.4392363175057,1117.7762095209416,2.053042697602929e-5,316.74000000953674,178,178,2920,316.74000000953674
c50_15fsmd,2,999.8235500208118,999.8235500208118,47.08923433104425,99.46799993515015,694,2815,1943,316.80400013923645
c50_15fsmfd,5,2634.963416280807,2634.963416280807,27.4796418021578,101.87400007247925,238,1438,1208,216.27600002288818
c100_20fsmfd,1,4153.017613228116,4157.712628442193,2.9900559748911378e-5,314.59299993515015,247,247,2636,314.59299993515015
c75_17fsmf,3,1738.865923449594,1748.4245195813464,4.6734954059797856e-5,365.53700017929077,844,844,3979,365.53700017929077
