instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
PR01,1,861.3186357598938,861.3186357598938,99.01148281100917,1.4660000801086426,11,15350,1475,293.3180000782013
P01,1,576.8656874818453,576.8656874818453,100.0,0.7670001983642578,1,8640,1059,299.80200004577637
PR07,1,1073.6252893163532,1073.6252893163532,80.81968383969968,43.68499994277954,307,9459,1649,432.0349998474121
P03,1,640.6519668230915,641.1859553983868,5.410422683715419e-5,450.7019999027252,7065,7065,2410,450.7019999027252
PR01,2,861.3186357598946,861.3186357598946,99.61079619449448,0.5769999027252197,1,15277,1371,287.89800000190735
P05,1,750.0290550979716,750.532714555349,9.376697337997906e-5,600.545000076294,3504,3504,4917,600.5460000038147
P01,2,576.8656874818439,576.8656874818439,98.52150559330116,2.263000011444092,14,8543,1095,301.96399998664856
P07,1,881.9674238520283,887.1588009751882,7.920997623444493e-5,601.9809999465942,419,419,5825,601.9809999465942
PR07,2,1073.6252893163528,1073.6252893163528,91.00762502487012,19.944000005722046,4,9822,1640,431.79900002479553
PR03,1,1774.8939016864633,1783.9732200079295,6.031392065318626e-5,863.9240000247955,1078,1078,3009,863.9240000247955
PR01,3,861.3186357598933,861.3186357598933,99.94792341524563,0.09000015258789062,1,15318,1388,287.8680000305176
P03,2,640.6519668230915,641.1859553983861,9.64761151613052e-5,450.0639998912811,7258,7258,2164,450.0649998188019
P01,3,576.865687481845,576.865687481845,97.7231101305844,3.4839999675750732,56,8615,1066,299.91799998283386
P15,1,2505.4172369710163,2505.4172369710163,91.05453506136247,44.474000215530396,5,4887,2159,959.5800001621246
PR01,4,861.3186357598946,861.3186357598946,99.7307370483906,0.40599989891052246,2,15513,1394,288.2279999256134
P01,4,576.8656874818466,576.8656874818466,99.87603852641286,0.23799991607666016,2,8573,1077,300.17599987983704
P05,2,750.5138290038087,750.5138290038087,5.817985206487204,455.34299993515015,8,1408,4474,601.3090000152588
P07,2,881.9674238520291,887.8144776657656,8.773445575926241e-5,601.0260000228882,1339,1339,5713,601.0260000228882
PR09,1,2141.750136595116,2151.3410978537954,7.309195011008442e-5,1295.854999780655,16,16,4185,1295.8559999465942
