instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
30_2.0,2,488.96555044385667,488.96555044385667,83.67021925870937,0.5990002155303955,4,5637,485,7.587000131607056
26_1.0,5,872.4380399060439,872.4380399060439,100.0,0.5570001602172852,0,1244,86,7.590000152587891
O10,1,26.832422177704316,26.832422177704316,100.0,0.5139999389648438,0,1925,18,7.591000080108643
O19,4,52.43974176531907,52.43974176531907,100.0,0.6579999923706055,0,1605,88,7.5929999351501465
S10,5,19.983925359008097,19.983925359008097,100.0,0.5950000286102295,0,1689,12,7.5950000286102295
O10,2,26.832422177704327,26.832422177704327,100.0,0.0009999275207519531,0,3962,18,1.0339999198913574
O19,5,52.4397417653191,52.4397417653191,100.0,0.0009999275207519531,0,2438,87,2.0269999504089355
O10,3,26.83242217770429,26.83242217770429,100.0,0.0,0,4230,18,1.0089998245239258
O10,4,26.83242217770431,26.83242217770431,100.0,0.0,0,4149,21,1.0170001983642578
26_1.5,1,680.8477420030449,680.8477420030449,90.91621981682785,0.19099998474121094,1,1577,117,4.120000123977661
O10,5,26.832422177704302,26.832422177704302,100.0,0.0,0,4159,21,1.0550000667572021
30_2.0,3,488.96555044385394,488.96555044385394,94.58952080539005,0.1940000057220459,16,6029,505,7.016999959945679
O49,2,101.29106938309324,101.29106938309324,92.39054377999878,0.5899999141693115,6,2268,753,15.006999969482422
26_1.5,2,680.8477420030445,680.8477420030445,84.68600598671436,0.3209998607635498,87,1602,117,4.014999866485596
45_2.5,4,727.1733276571897,727.1733276571897,47.32580012819767,4.995000123977661,9,4287,518,16.010000228881836
26_1.5,3,680.8477420030447,680.8477420030447,94.86760715236677,0.10800004005432129,40,1620,110,4.3999998569488525
30_2.0,4,488.9655504438181,488.9655504438181,70.99266127040632,1.1050000190734863,827,5239,509,7.440000057220459
S52,1,118.71094016154534,118.71094016154534,93.5792410661713,0.7239999771118164,8,9181,327,22.046000003814697
26_1.5,4,680.8477420030433,680.8477420030433,89.96522074856763,0.20800018310546875,78,1454,118,4.01800012588501
26_1.5,5,680.8477420030433,680.8477420030433,89.53889903068557,0.21700000762939453,1,1540,122,4.059999942779541
30_2.0,5,488.96555044385485,488.96555044385485,98.80360520019539,0.042999982833862305,18,5993,523,7.044999837875366
O49,3,101.29106938309275,101.29106938309275,87.39756846821933,0.9799997806549072,139,2143,740,15.111999988555908
45_2.5,5,727.1733276572022,727.1733276572022,52.871074967587006,4.373000144958496,1419,4151,489,16.009000062942505
26_2.0,1,566.4558065453758,566.4558065453758,99.50062547564507,0.011999845504760742,3,1990,138,4.041999816894531
30_2.5,1,477.65980824053133,477.65980824053133,97.36050999150179,0.09399986267089844,36,6947,428,7.018999814987183
26_2.0,2,566.4558065453756,566.4558065453756,100.0,0.003000020980834961,1,2082,134,4.289999961853027
26_2.0,3,566.4558065453753,566.4558065453753,99.45074845137611,0.013000011444091797,4,1875,144,4.188000202178955
30_2.5,2,477.659808240538,477.659808240538,100.0,0.0019998550415039062,0,6381,441,7.063999891281128
S52,2,118.7109401615449,118.7109401615449,99.0386856071346,0.11100006103515625,6,9418,313,21.98099994659424
26_2.0,4,566.4558065453758,566.4558065453758,100.0,0.002000093460083008,0,1874,129,4.098999977111816
O49,4,101.29106938309357,101.29106938309357,97.77254422631835,0.18000006675720215,23,2312,755,15.02999997138977
45_3.0,1,705.9472538532982,705.9472538532982,6.812099607968336,11.827000141143799,2311,1276,763,16.242000102996826
