instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
r101,1,1009.9522199999999,1012.7985999983616,9.612504128887804e-5,256.7220001220703,1281,1281,20188,256.8110001087189
c0530,1,635.622372999317,635.622372999317,58.463880432972836,60.13499999046326,19281,65884,4187,256.8769998550415
sn12x,1,663.421504,663.5018469988132,9.912505228374134e-5,269.65500020980835,2531,2531,10102,269.6560001373291
cc0586,1,678.9196900003533,678.9196900003533,77.01204484585165,34.17199993133545,4244,32884,6471,279.146999835968
c0582,1,1039.6362110010643,1039.6362110010643,50.43034998880209,82.33299994468689,447,33498,2202,284.4649999141693
RC1_2_1,1,3321.3145699999995,3365.2915000009975,6.784077541570325e-5,350.3729999065399,802,802,18605,350.37399983406067
c0588,1,1071.1811800000141,1071.1811800000141,99.32956855967126,1.061000108718872,12,50794,3025,350.61500000953674
cc0534,1,588.7938270000074,588.7938270000074,99.47812197671526,0.7960000038146973,6,95177,5952,350.94900012016296
cc0580,1,857.1730870001318,857.1730870001318,95.29610907580899,7.858999967575073,869,38052,4366,351.08399987220764
c0536,1,651.0871470000142,651.0871470000142,98.72474774831622,2.177999973297119,367,103474,4915,351.19799995422363
C2_2_1,1,1726.7336499999997,1738.255909999654,0.0,356.7019999027252,554,554,11346,356.7019999027252
sn3x,1,721.270818,721.4010989987056,0.0,396.90499997138977,8255,8255,18312,396.90499997138977
r101,2,1009.9522199999999,1011.337219999293,9.362315765582358e-5,240.68999981880188,1510,1510,11810,240.68999981880188
c0530,2,635.6223729990995,635.6223729990995,8.974886375075265,178.9340000152588,27497,24820,3041,255.9869999885559
sn12x,2,662.408312,662.8505669994162,9.765119978216358e-5,269.4130001068115,1581,1581,7035,269.4130001068115
cc0586,2,678.9196900001015,678.9196900001015,93.38831164166137,9.394999980926514,1076,22366,5156,279.1060001850128
c0582,2,1039.636211,1040.6161220008007,9.997884032766246e-5,284.1840000152588,15434,15434,1808,284.1840000152588
RC1_2_1,2,3316.05223,3365.97072000058,3.233421088940836e-5,350.37800002098083,1111,1111,14729,350.37800002098083
c0588,2,1071.181179999996,1071.181179999996,96.05046056437936,6.2870001792907715,1,42223,2731,351.08200001716614
cc0534,2,588.7938270002207,588.7938270002207,69.41508609162355,50.51600003242493,1283,77259,5154,350.97900009155273
c0536,2,651.0871470000236,651.0871470000236,74.0935696547577,47.211000204086304,500,86282,4544,350.8800001144409
cc0580,2,857.1730870000099,857.1730870000099,73.64430216722452,46.8050000667572,122,31413,3896,351.02500009536743
C2_2_1,2,1728.5418599999998,1734.2015699997366,0.0,347.9229998588562,843,843,9753,347.9229998588562
sn3x,2,721.270818,721.4010989988,9.982079564500016e-5,348.5479998588562,4009,4009,17563,348.5479998588562
r101,3,1009.9522199999999,1018.1315599988137,0.0,262.76799988746643,1851,1851,15282,262.76799988746643
c0530,3,635.622372999343,635.622372999343,58.47106399591233,60.12100005149841,17647,36430,3369,256.1820001602173
sn12x,3,663.501847,663.6878489992731,9.912522865150067e-5,269.2849998474121,3683,3683,7229,269.28600001335144
cc0586,3,678.919690000182,678.919690000182,90.37605669214584,13.766000032424927,229,23071,5464,279.0239999294281
c0582,3,1039.636211,1040.1479380015164,9.648936811785219e-5,284.3619999885559,3675,3675,1950,284.3619999885559
RC1_2_1,3,3323.5206199999993,3353.739220000717,9.850993853670925e-5,350.2359998226166,441,441,16537,350.2359998226166
c0588,3,1071.181180000002,1071.181180000002,98.02063035557326,3.138000011444092,17,45347,2797,350.7409999370575
cc0580,3,857.1730870001666,857.1730870001666,72.04815275434017,49.89100003242493,1456,32158,4010,350.48600006103516
c0530,4,635.6223729981297,635.6223729981297,9.540326369046772,176.5569999217987,58706,17707,4029,283.72300004959106
cc0534,3,588.7938270000042,588.7938270000042,98.09857522520494,2.8940000534057617,24,82357,5290,351.06500005722046
c0536,3,651.0871470000139,651.0871470000139,97.7618689462808,3.824000120162964,116,88571,4457,350.9130001068115
r101,4,1009.9522199999999,1012.0052499983859,8.006803824358127e-5,300.46299982070923,1260,1260,19207,300.46299982070923
C2_2_1,3,1727.8691199999998,1732.0578399997216,0.0,360.9559998512268,1176,1176,10286,360.9559998512268
sn3x,3,721.270818,721.569986999455,0.0,358.731999874115,16275,16275,18979,358.7330000400543
sn12x,4,663.501847,665.641602999653,0.0,296.19199991226196,12908,12908,7812,296.19199991226196
cc0586,4,678.9196900001582,678.9196900001582,89.11064896685646,15.63100004196167,2,20875,5412,279.00999999046326
