Problem,Set,Instance,BKS,Ref,BestRef,AvgRef,TimeRef,BestGeneric,AvgGeneric,TimeGeneric,N,TStarGeneric
VRPSPD,D,c0530,635.62,FSPD100k,635.62,635.62,25.546,635.6224,635.6224,261.7642,50,130.7656
VRPSPD,D,c0531,697.84,FSPD100k,697.84,697.84,28.652,697.8355,697.8355,296.1766,50,4.1338
VRPSPD,D,c0532,659.34,FSPD100k,659.34,659.34,28.706,659.336,659.336,286.9046,50,0.2344
VRPSPD,D,c0533,680.04,FSPD100k,680.04,680.04,31.088,680.0414,680.0414,311.1546,50,7.294
VRPSPD,D,c0534,690.5,FSPD100k,690.5,690.5,31.435,690.4998,690.4998,345.9014,50,0.0478
VRPSPD,D,c0535,659.9,FSPD100k,659.9,659.9,24.976,659.9047,659.9047,261.444,50,1.2538
VRPSPD,D,c0536,651.09,FSPD100k,651.09,651.09,33.908,651.0871,651.0871,350.8436,50,21.3622
VRPSPD,D,c0537,659.17,FSPD100k,659.17,659.17,24.921,659.1663,659.1663,249.4818,50,26.8416
VRPSPD,D,c0538,719.47,FSPD100k,719.47,719.47,29.351,719.4748,719.4748,300.8594,50,0.155
VRPSPD,D,c0539,681.0,FSPD100k,681.0,681.0,33.762,680.9967,680.9967,337.898,50,0.4802
VRPSPD,D,c0580,961.5,FSPD100k,961.5,961.5,26.492,961.4964,961.4964,264.8256,50,2.7056
VRPSPD,D,c0581,1049.65,FSPD100k,1049.65,1049.65,23.267,1049.6544,1049.6544,234.6532,50,12.2322
VRPSPD,D,c0582,1039.64,FSPD100k,1039.64,1039.64,28.403,1039.6362,1039.6362,290.5752,50,250.1488
VRPSPD,D,c0583,983.34,FSPD100k,983.34,983.34,22.471,983.3391,983.3391,224.8994,50,14.196
VRPSPD,D,c0584,1065.49,FSPD100k,1065.49,1065.49,30.986,1065.4944,1065.4944,320.421,50,8.9518
VRPSPD,D,c0585,1027.08,FSPD100k,1027.08,1027.08,24.618,1027.0836,1027.0836,252.8206,50,14.5028
VRPSPD,D,c0586,971.82,FSPD100k,971.82,971.82,30.722,971.8215,971.8215,312.2784,50,0.9844
VRPSPD,D,c0587,1051.28,FSPD100k,1051.28,1051.28,21.481,1051.2815,1051.2815,215.3132,50,122.0212
VRPSPD,D,c0588,1071.18,FSPD100k,1071.18,1071.18,31.479,1071.1812,1071.1812,350.7558,50,3.8422
VRPSPD,D,c0589,1060.5,FSPD100k,1060.5,1060.5,26.54,1060.5002,1060.5002,265.81,50,10.4458
VRPSPD,D,cc0530,616.52,FSPD100k,616.52,616.52,31.196,616.5204,616.5204,312.8336,50,0.925
VRPSPD,D,cc0531,554.47,FSPD100k,554.47,554.47,32.289,554.4711,554.4711,347.5714,50,1.8438
VRPSPD,D,cc0532,518.0,FSPD100k,518.0,518.0,27.323,518.0047,518.2259,284.0176,50,108.3088
VRPSPD,D,cc0533,591.19,FSPD100k,591.19,591.19,39.432,591.1889,591.1889,396.0922,50,0.0562
VRPSPD,D,cc0534,588.79,FSPD100k,588.79,588.79,30.274,588.7938,588.7938,350.8144,50,21.3614
VRPSPD,D,cc0535,563.7,FSPD100k,563.7,563.7,33.022,563.6967,563.6967,373.8854,50,4.631
VRPSPD,D,cc0536,499.05,FSPD100k,499.05,499.05,30.946,499.0515,499.0515,311.6034,50,9.7022
VRPSPD,D,cc0537,576.48,FSPD100k,576.48,576.48,25.273,576.4812,576.4812,260.6412,50,4.0594
VRPSPD,D,cc0538,523.05,FSPD100k,523.05,523.05,38.753,523.05,523.05,392.1416,50,0.4838
VRPSPD,D,cc0539,578.25,FSPD100k,578.25,578.25,29.456,578.2453,578.2453,295.4084,50,1.8524
VRPSPD,D,cc0580,857.17,FSPD100k,857.17,857.17,32.992,857.1731,857.1731,350.761,50,32.3494
VRPSPD,D,cc0581,740.85,FSPD100k,740.85,740.85,42.967,740.854,740.854,429.4588,50,3.3122
VRPSPD,D,cc0582,712.89,FSPD100k,712.89,712.89,45.895,712.8883,712.8883,475.2824,50,9.6714
VRPSPD,D,cc0583,811.07,FSPD100k,811.07,811.07,40.588,811.067,811.067,419.9712,50,18.8052
VRPSPD,D,cc0584,772.25,FSPD100k,772.25,772.25,31.389,772.2533,772.2533,316.4172,50,1.106
VRPSPD,D,cc0585,754.88,FSPD100k,754.88,754.88,34.712,754.8809,754.8809,346.92,50,1.4788
VRPSPD,D,cc0586,678.92,FSPD100k,678.92,678.92,27.894,678.9197,678.9197,280.7184,50,17.3202
VRPSPD,D,cc0587,811.96,FSPD100k,811.96,811.96,37.28,811.9558,811.9558,378.9744,50,19.959
VRPSPD,D,cc0588,767.53,FSPD100k,767.53,767.53,30.549,767.526,767.526,309.302,50,6.2528
VRPSPD,D,cc0589,809.0,FSPD100k,809.0,809.0,37.828,809.0044,809.0044,391.7918,50,17.3588
