Instance,BKS,Ref,BestRef,AvgRef,TimeRef
c50_13fsmfd,2964.65,AILS,2964.65,2964.83,16.6
c50_13fsmf,2406.36,AILS,2406.36,2406.36,27.31
c50_13fsmd,1491.86,AILS,1491.86,1493.42,23.81
c50_14fsmfd,9126.9,AILS,9126.9,9126.9,0.97
c50_14fsmf,9119.03,AILS,9119.03,9119.03,24.84
c50_14fsmd,603.21,AILS,603.21,603.21,24.54
c50_15fsmfd,2634.96,AILS,2634.96,2634.96,21.4
c50_15fsmf,2586.37,AILS,2586.37,2586.42,8.64
c50_15fsmd,999.82,AILS,999.82,1000.16,31.58
c50_16fsmfd,3168.92,AILS,3168.92,3168.94,25.52
c50_16fsmf,2720.43,AILS,2720.43,2720.43,18.77
c50_16fsmd,1131.0,AILS,1131.0,1132.84,28.51
c75_17fsmfd,2004.48,AILS,2004.48,2004.48,24.72
c75_17fsmf,1734.53,AILS,1734.53,1734.69,32.62
c75_17fsmd,1038.6,AILS,1038.6,1038.6,0.91
c75_18fsmfd,3147.99,AILS,3148.56,3151.4,45.59
c75_18fsmf,2369.65,AILS,2369.65,2375.95,38.18
c75_18fsmd,1800.8,AILS,1800.8,1800.8,59.23
c100_19fsmfd,8661.81,AILS,8661.82,8663.26,40.72
c100_19fsmf,8661.81,AILS,8661.81,8662.73,35.48
c100_19fsmd,1105.44,AILS,1105.44,1105.44,31.56
c100_20fsmfd,4153.02,AILS,4153.02,4153.12,25.42
c100_20fsmf,4029.61,AILS,4029.61,4031.78,34.08
c100_20fsmd,1530.43,AILS,1530.52,1530.52,50.35
brandaoN1fsmd,2211.63,AILS,2217.9,2221.74,114.64
brandaoN2fsmd,2811.37,AILS,2812.28,2821.6,89.5
brandaoN3fsmd,2234.57,AILS,2234.57,2234.77,59.41
brandaoN4fsmd,1822.78,AILS,1822.78,1822.78,7.25
brandaoN5fsmd,2016.79,AILS,2016.79,2016.8,73.62
