Instance,BKS,Ref,BestRef,AvgRef,TimeRef
P01,576.865,PyVRP,576.865,576.87,30.011
P02,473.533,PyVRP,473.533,473.53,30.012
P03,640.649,PyVRP,640.649,640.65,45.018
P04,999.213,PyVRP,999.213,999.21,60.025
P05,750.022,PyVRP,750.022,750.02,60.022
P06,876.5,PyVRP,876.5,876.5,60.023
P07,883.91,PyVRP,883.91,885.13,60.022
P08,4342.041,PyVRP,4342.041,4349.05,149.474
P09,3859.529,PyVRP,3859.529,3867.93,149.478
P10,3631.109,PyVRP,3631.109,3632.88,149.489
P11,3546.619,PyVRP,3546.619,3554.45,149.483
P12,1318.95,PyVRP,1318.95,1318.95,48.015
P15,2505.408,PyVRP,2505.408,2505.41,96.043
P18,3702.834,PyVRP,3702.834,3702.83,144.082
PR01,861.315,PyVRP,861.315,861.32,28.81
PR02,1275.396,PyVRP,1275.396,1275.4,57.622
PR03,1774.886,PyVRP,1774.886,1774.89,86.436
PR04,2035.676,PyVRP,2035.676,2035.68,115.259
PR05,2307.651,PyVRP,2307.651,2310.09,144.081
PR06,2635.034,PyVRP,2635.034,2638.08,172.902
PR07,1073.626,PyVRP,1073.626,1073.63,43.217
PR08,1644.101,PyVRP,1644.101,1644.1,86.438
PR09,2132.788,PyVRP,2132.788,2133.5,129.667
PR10,2750.85,PyVRP,2750.85,2754.26,172.903
