Instance,BKS,Ref,BestRef,AvgRef,TimeRef
O10,26.8,ILS-SP,26.8,26.8,0.1
O103,221.7,ILS-SP,221.7,221.7,10.0
O105,231.5,ILS-SP,231.5,231.5,9.9
O125,259.8,ILS-SP,259.8,259.8,19.0
O127,269.7,ILS-SP,269.7,269.7,17.2
O13,35.8,ILS-SP,35.8,35.8,0.1
O137,295.6,ILS-SP,295.6,295.6,19.2
O145,320.4,ILS-SP,320.8,322.2,195.1
O16,38.8,ILS-SP,38.8,38.8,0.2
O169,359.5,ILS-SP,359.5,359.5,32.5
O187,389.7,ILS-SP,389.7,389.7,46.5
O19,52.4,ILS-SP,52.4,52.4,0.2
O209,461.7,ILS-SP,461.7,461.7,51.1
O21,51.8,ILS-SP,51.8,51.8,0.3
O249,519.5,ILS-SP,519.5,519.5,91.1
O25,64.9,ILS-SP,64.9,64.9,0.4
O273,589.7,ILS-SP,589.7,589.7,97.5
O28,62.8,ILS-SP,62.8,62.8,0.6
O31,77.7,ILS-SP,77.7,77.7,0.6
O337,717.7,ILS-SP,717.7,717.7,168.9
O37,83.8,ILS-SP,83.8,83.8,1.0
O40,86.8,ILS-SP,86.8,86.8,1.3
O41,102.0,ILS-SP,102.0,102.0,1.1
O49,101.3,ILS-SP,101.3,101.3,1.5
O52,110.8,ILS-SP,110.8,110.8,2.4
O53,115.8,ILS-SP,115.8,115.8,2.2
O55,125.7,ILS-SP,125.7,125.7,2.2
O64,134.8,ILS-SP,134.8,134.8,4.1
O69,147.8,ILS-SP,147.8,147.8,4.2
O73,167.6,ILS-SP,167.6,167.6,4.2
O79,173.7,ILS-SP,173.7,173.7,5.3
O81,170.9,ILS-SP,170.9,171.0,8.2
O85,179.8,ILS-SP,179.8,179.8,7.0
O94,194.8,ILS-SP,194.8,194.8,10.8
S10,20.0,ILS-SP,20.0,20.0,0.1
S103,246.8,ILS-SP,246.8,246.8,10.2
S105,240.4,ILS-SP,240.4,240.4,13.7
S125,283.3,ILS-SP,283.3,283.3,17.7
S127,306.6,ILS-SP,306.6,306.6,17.1
S13,26.6,ILS-SP,26.6,26.6,0.1
S137,333.5,ILS-SP,333.5,333.5,25.8
S145,264.6,ILS-SP,264.9,265.6,36.4
S16,35.4,ILS-SP,35.4,35.4,0.2
S169,408.5,ILS-SP,408.5,408.5,37.7
S187,424.8,ILS-SP,424.8,424.8,44.9
S19,38.2,ILS-SP,38.2,38.2,0.2
S209,427.5,ILS-SP,428.4,432.3,174.2
S21,47.2,ILS-SP,47.2,47.2,0.3
S249,598.6,ILS-SP,598.6,598.6,94.0
S25,49.7,ILS-SP,49.7,49.7,0.4
S273,612.4,ILS-SP,619.3,625.7,270.3
S28,61.8,ILS-SP,61.8,61.8,0.6
S31,70.0,ILS-SP,70.0,70.0,0.6
S337,778.1,ILS-SP,778.1,790.4,336.1
S37,82.4,ILS-SP,82.4,82.4,0.9
S40,98.6,ILS-SP,98.6,98.6,1.2
S41,88.0,ILS-SP,88.0,88.0,1.2
S49,81.1,ILS-SP,81.1,81.1,1.6
S52,118.7,ILS-SP,118.7,118.7,2.2
S53,123.1,ILS-SP,123.1,123.1,2.1
S55,132.9,ILS-SP,132.9,132.9,2.4
S64,150.6,ILS-SP,150.6,150.6,3.7
S69,166.1,ILS-SP,166.1,166.1,3.9
S73,161.1,ILS-SP,161.1,161.1,6.5
S79,197.2,ILS-SP,197.2,197.2,5.3
S81,133.4,ILS-SP,133.4,133.4,6.6
S85,201.2,ILS-SP,201.2,201.2,6.5
S94,212.5,ILS-SP,212.5,212.5,9.7
101_1.0,2140.2,ILS-SP,2140.2,2140.2,8.8
101_1.5,1612.6,ILS-SP,1613.6,1614.2,21.9
101_2.0,1342.3,ILS-SP,1343.4,1345.4,22.4
101_2.5,1179.6,ILS-SP,1179.6,1188.5,28.6
101_3.0,1096.0,ILS-SP,1096.0,1097.8,16.1
121_1.0,5743.3,ILS-SP,5757.3,5759.9,40.3
121_1.5,3866.0,ILS-SP,3875.5,3881.6,157.9
121_2.0,2994.8,ILS-SP,3004.4,3011.9,157.9
121_2.5,2525.4,ILS-SP,2525.4,2575.2,197.6
