Instance,BKS,Ref,BestRef,AvgRef,TimeRef
c0530,635.62,FSPD100k,635.62,635.62,25.546
c0531,697.84,FSPD100k,697.84,697.84,28.652
c0532,659.34,FSPD100k,659.34,659.34,28.706
c0533,680.04,FSPD100k,680.04,680.04,31.088
c0534,690.5,FSPD100k,690.5,690.5,31.435
c0535,659.9,FSPD100k,659.9,659.9,24.976
c0536,651.09,FSPD100k,651.09,651.09,33.908
c0537,659.17,FSPD100k,659.17,659.17,24.921
c0538,719.47,FSPD100k,719.47,719.47,29.351
c0539,681.0,FSPD100k,681.0,681.0,33.762
c0580,961.5,FSPD100k,961.5,961.5,26.492
c0581,1049.65,FSPD100k,1049.65,1049.65,23.267
c0582,1039.64,FSPD100k,1039.64,1039.64,28.403
c0583,983.34,FSPD100k,983.34,983.34,22.471
c0584,1065.49,FSPD100k,1065.49,1065.49,30.986
c0585,1027.08,FSPD100k,1027.08,1027.08,24.618
c0586,971.82,FSPD100k,971.82,971.82,30.722
c0587,1051.28,FSPD100k,1051.28,1051.28,21.481
c0588,1071.18,FSPD100k,1071.18,1071.18,31.479
c0589,1060.5,FSPD100k,1060.5,1060.5,26.54
cc0530,616.52,FSPD100k,616.52,616.52,31.196
cc0531,554.47,FSPD100k,554.47,554.47,32.289
cc0532,518.0,FSPD100k,518.0,518.0,27.323
cc0533,591.19,FSPD100k,591.19,591.19,39.432
cc0534,588.79,FSPD100k,588.79,588.79,30.274
cc0535,563.7,FSPD100k,563.7,563.7,33.022
cc0536,499.05,FSPD100k,499.05,499.05,30.946
cc0537,576.48,FSPD100k,576.48,576.48,25.273
cc0538,523.05,FSPD100k,523.05,523.05,38.753
cc0539,578.25,FSPD100k,578.25,578.25,29.456
cc0580,857.17,FSPD100k,857.17,857.17,32.992
cc0581,740.85,FSPD100k,740.85,740.85,42.967
cc0582,712.89,FSPD100k,712.89,712.89,45.895
cc0583,811.07,FSPD100k,811.07,811.07,40.588
cc0584,772.25,FSPD100k,772.25,772.25,31.389
cc0585,754.88,FSPD100k,754.88,754.88,34.712
cc0586,678.92,FSPD100k,678.92,678.92,27.894
cc0587,811.96,FSPD100k,811.96,811.96,37.28
cc0588,767.53,FSPD100k,767.53,767.53,30.549
cc0589,809.0,FSPD100k,809.0,809.0,37.828
C1_2_1,3628.51,FSPD100k,3628.51,3631.7031,29.241
C1_4_1,11047.19,FSPD100k,11089.9426,11113.0313,33.742
C2_2_1,1726.59,FSPD100k,1726.59,1726.59,34.469
C2_4_1,3539.5,FSPD100k,3541.8715,3549.5876,37.273
R1_2_1,3353.8,FSPD100k,3355.7117,3364.6998,25.588
R1_4_1,9519.45,FSPD100k,9533.0628,9562.0019,30.032
R2_2_1,1665.58,FSPD100k,1665.58,1665.58,40.989
R2_4_1,3546.49,FSPD100k,3546.49,3552.7318,36.358
RC1_2_1,3303.7,FSPD100k,3307.5653,3317.8729,29.017
RC1_4_1,9447.53,FSPD100k,9478.2345,9497.5074,31.311
RC2_2_1,1560.0,FSPD100k,1560.0,1560.0,43.277
RC2_4_1,3403.7,FSPD100k,3403.7,3403.7,41.148
c101,1220.18,FSPD100k,1220.9853,1222.8278,32.057
c201,662.07,FSPD100k,662.07,662.07,42.832
r101,1009.95,FSPD100k,1009.95,1010.0813,23.357
r201,666.2,FSPD100k,666.2067,666.2067,37.703
rc101,1059.32,FSPD100k,1059.32,1059.32,25.323
rc201,672.92,FSPD100k,672.92,672.92,31.163
sn11x,833.92,FSPD100k,833.92,833.92,29.447
sn11y,833.92,FSPD100k,833.92,834.0784,29.77
sn12x,662.22,FSPD100k,662.22,662.3458,26.918
sn12y,662.22,FSPD100k,662.22,662.22,26.361
sn1x,466.77,FSPD100k,466.7747,466.7747,24.844
sn1y,466.77,FSPD100k,466.7747,466.7747,24.477
sn2x,684.21,FSPD100k,684.21,684.4563,22.101
sn2y,684.21,FSPD100k,684.21,684.3674,23.087
sn3x,721.27,FSPD100k,721.27,721.2844,31.228
sn3y,721.27,FSPD100k,721.27,721.3133,30.545
sn4x,852.46,FSPD100k,852.46,852.6816,31.608
sn4y,852.46,FSPD100k,852.46,852.6475,33.176
sn5x,1029.25,FSPD100k,1029.25,1029.3118,33.524
sn5y,1029.25,FSPD100k,1029.25,1029.425,32.966
