Solving...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |              Inf |       285.63 |       287.61 |                  1.94 |                    0.23 |     30 |     0.0383 |
|        1 |          2 |              Inf |       285.63 |       289.53 |                  2.36 |                    0.10 |     30 |     0.4407 |
|        1 |          3 |              Inf |       285.63 |       291.12 |                  3.99 |                    0.10 |     30 |     0.4446 |
|        1 |          4 |              Inf |       283.02 |       283.02 |                  9.87 |                    0.10 |     31 |     0.4496 |
|        1 |          5 |              Inf |       283.02 |       312.12 |                 20.01 |                    0.10 |     31 |     0.4530 |
|        1 |          6 |              Inf |       283.02 |       375.97 |                 22.92 |                    0.10 |     34 |     0.4577 |
|        1 |          0 |           351.30 |       283.02 |       351.30 |                 14.55 |                    0.10 |     36 |     0.4624 |
|        1 |          1 |           351.30 |       283.02 |       351.30 |                  7.49 |                    0.10 |     36 |     0.4665 |
|        1 |          2 |           351.30 |       283.02 |       351.30 |                  4.53 |                    0.10 |     36 |     0.4701 |
|        1 |          3 |           351.30 |       283.02 |       351.30 |                  2.11 |                    0.10 |     36 |     0.4749 |
|        1 |          4 |           351.30 |       268.58 |       268.58 |                  5.53 |                    0.10 |     36 |     0.4811 |
|        1 |          5 |           351.30 |       268.58 |       327.50 |                 14.78 |                    0.10 |     36 |     0.4884 |
|        1 |          6 |           351.30 |       268.58 |       342.19 |                 11.35 |                    0.10 |     36 |     0.4922 |
|        1 |          7 |           351.30 |       268.58 |       327.16 |                 10.66 |                    0.10 |     36 |     0.4956 |
|        1 |          8 |           351.30 |       268.58 |       327.47 |                 20.15 |                    0.10 |     36 |     0.4991 |
|        1 |          9 |           351.30 |       268.58 |       351.30 |                 11.46 |                    0.10 |     36 |     0.5042 |
|        1 |         10 |           351.30 |       268.58 |       351.30 |                  6.66 |                    0.10 |     36 |     0.5080 |
|        1 |         11 |           351.30 |       268.58 |       340.96 |                  3.55 |                    0.10 |     36 |     0.5207 |
|        1 |         12 |           351.30 |       268.58 |       296.83 |                  7.49 |                    0.10 |     36 |     0.5245 |
|        1 |         13 |           351.30 |       268.58 |       313.41 |                 15.95 |                    0.10 |     36 |     0.5288 |
|        1 |         14 |           351.30 |       268.58 |       351.30 |                 14.07 |                    0.10 |     36 |     0.5342 |
|        1 |         15 |           351.30 |       268.58 |       351.30 |                  5.87 |                    0.10 |     36 |     0.5389 |
|        1 |         16 |           351.30 |       268.58 |       294.79 |                  6.25 |                    0.10 |     36 |     0.5459 |
|        1 |         17 |           351.30 |       268.58 |       307.06 |                  4.22 |                    0.10 |     36 |     0.5500 |
|        1 |         18 |           351.30 |       268.58 |       299.56 |                  7.89 |                    0.10 |     36 |     0.5531 |
|        1 |         19 |           351.30 |       268.58 |       314.48 |                 15.22 |                    0.10 |     36 |     0.5565 |
|        1 |         20 |           351.30 |       268.58 |       342.78 |                 27.65 |                    0.10 |     36 |     0.5598 |
|        1 |         21 |           351.30 |       268.58 |       351.30 |                 20.19 |                    0.10 |     36 |     0.5646 |
|        1 |         22 |           351.30 |       268.58 |       351.30 |                 11.59 |                    0.10 |     36 |     0.5692 |
|        1 |         23 |           351.30 |       268.58 |       351.30 |                  6.28 |                    0.10 |     36 |     0.5733 |
|        1 |         24 |           351.30 |       268.58 |       351.30 |                  2.98 |                    0.10 |     36 |     0.5771 |
|        1 |         25 |           351.30 |       268.58 |       293.83 |                  3.49 |                    0.10 |     36 |     0.5819 |
|        1 |         26 |           351.30 |       268.58 |       296.10 |                  6.65 |                    0.10 |     36 |     0.5851 |
|        1 |         27 |           351.30 |       268.58 |       303.95 |                  4.10 |                    0.10 |     36 |     0.5919 |
|        1 |         28 |           351.30 |       268.58 |       298.19 |                  7.75 |                    0.10 |     36 |     0.5951 |
|        1 |         29 |           351.30 |       268.58 |       316.19 |                 15.54 |                    0.10 |     37 |     0.5986 |
|        1 |         30 |           351.30 |       268.58 |       351.30 |                 14.40 |                    0.10 |     37 |     0.6054 |
|        1 |         31 |           351.30 |       268.58 |       351.30 |                  8.97 |                    0.10 |     37 |     0.6090 |
|        1 |         32 |           351.30 |       268.58 |       351.30 |                  6.00 |                    0.10 |     37 |     0.6118 |
|        1 |         33 |           351.30 |       268.58 |       304.97 |                 10.04 |                    0.10 |     37 |     0.6161 |
|        1 |         34 |           351.30 |       268.58 |       322.69 |                 18.43 |                    0.10 |     37 |     0.6190 |
|        1 |         35 |           351.30 |       268.58 |       357.24 |                 26.34 |                    0.10 |     37 |     0.6220 |
|        1 |         36 |           351.30 |       268.58 |       351.30 |                 13.69 |                    0.10 |     37 |     0.6264 |
|        1 |         37 |           351.30 |       268.58 |       351.30 |                  8.02 |                    0.10 |     37 |     0.6305 |
|        1 |         38 |           351.30 |       268.58 |       347.20 |                  3.80 |                    0.10 |     37 |     0.6377 |
|        1 |         39 |           351.30 |       268.58 |       351.30 |                  2.10 |                    0.10 |     37 |     0.6421 |
|        1 |         40 |           351.30 |       268.58 |       351.30 |                  1.16 |                    0.10 |     37 |     0.6454 |
|        1 |         41 |           351.30 |       259.98 |       259.98 |                  3.78 |                    0.10 |     37 |     0.6548 |
|        1 |         42 |           351.30 |       259.98 |       273.66 |                  7.22 |                    0.10 |     37 |     0.6584 |
|        1 |         43 |           351.30 |       259.98 |       312.56 |                 13.37 |                    0.10 |     37 |     0.6616 |
|        1 |         44 |           351.30 |       259.98 |       334.80 |                 13.21 |                    0.10 |     37 |     0.6644 |
|        1 |         45 |           351.30 |       259.98 |       334.65 |                 23.51 |                    0.10 |     37 |     0.6680 |
|        1 |         46 |           351.30 |       259.98 |       351.30 |                 32.19 |                    0.10 |     37 |     0.6740 |
|        1 |         47 |           351.30 |       259.98 |       351.30 |                 25.48 |                    0.10 |     37 |     0.6780 |
