Solving...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |              Inf |      1096.67 |      1229.07 |                  6.89 |                    0.15 |     49 |     0.1903 |
|        1 |          2 |              Inf |      1096.67 |      1445.69 |                 12.40 |                    0.19 |     50 |     0.6678 |
|        1 |          3 |              Inf |      1096.67 |      1731.82 |                 24.15 |                    0.18 |     51 |     0.7172 |
|        1 |          4 |              Inf |      1096.67 |      1880.45 |                146.22 |                    0.10 |     75 |     0.8625 |
|        1 |          0 |          1737.40 |      1096.67 |      1737.40 |                 57.02 |                    0.10 |     92 |     1.0399 |
|        1 |          1 |          1737.40 |      1096.67 |      1743.20 |                 73.61 |                    0.10 |     94 |     1.1180 |
|        1 |          2 |          1737.40 |      1096.67 |      1720.93 |                 42.02 |                    0.10 |    106 |     1.2853 |
|        1 |          3 |          1737.40 |      1096.67 |      1774.61 |                 46.20 |                    0.10 |    111 |     1.3603 |
|        1 |          4 |          1737.40 |      1096.67 |      1749.34 |                 72.73 |                    0.10 |    114 |     1.4566 |
|        1 |          5 |          1737.40 |      1096.67 |      1760.30 |                 79.06 |                    0.10 |    120 |     1.5487 |
|        1 |          6 |          1737.40 |      1096.67 |      1792.40 |                 81.90 |                    0.10 |    125 |     1.6201 |
|        1 |          7 |          1737.40 |      1096.67 |      1759.50 |                 27.64 |                    0.10 |    129 |     1.7189 |
|        1 |          8 |          1737.40 |      1096.67 |      1716.05 |                 74.76 |                    0.10 |    132 |     1.7982 |
|        1 |          9 |          1737.40 |      1096.67 |      1766.46 |                 67.96 |                    0.10 |    134 |     1.8882 |
|        1 |         10 |          1737.40 |      1096.67 |      1765.02 |                 40.55 |                    0.10 |    136 |     1.9855 |
|        1 |         11 |          1737.40 |      1096.67 |      1733.49 |                 87.24 |                    0.10 |    142 |     2.0483 |
|        1 |         12 |          1737.40 |      1096.67 |      1768.30 |                 26.84 |                    0.10 |    146 |     2.1818 |
|        1 |         13 |          1737.40 |      1096.67 |      1704.75 |                 67.67 |                    0.10 |    148 |     2.2622 |
|        1 |         14 |          1737.40 |      1096.67 |      1789.90 |                 35.49 |                    0.10 |    156 |     2.3511 |
|        1 |         15 |          1737.40 |      1096.67 |      1726.20 |                 71.09 |                    0.10 |    158 |     2.4268 |
|        1 |         16 |          1737.40 |      1096.67 |      1770.20 |                 37.25 |                    0.10 |    167 |     2.5317 |
|        1 |         17 |          1737.40 |      1096.67 |      1744.72 |                 30.73 |                    0.10 |    178 |     2.7223 |
|        1 |         18 |          1737.40 |      1096.67 |      1752.69 |                 78.97 |                    0.10 |    180 |     2.8158 |
|        1 |         19 |          1737.40 |      1096.67 |      1833.10 |                 36.37 |                    0.10 |    190 |     2.8955 |
|        1 |         20 |          1737.40 |      1096.67 |      1816.29 |                 33.73 |                    0.10 |    201 |     2.9776 |
|        1 |         21 |          1737.40 |      1096.67 |      1798.50 |                 26.44 |                    0.10 |    212 |     3.1993 |
|        1 |         22 |          1737.40 |      1096.67 |      1768.40 |                 34.12 |                    0.10 |    216 |     3.2819 |
|        1 |         23 |          1737.40 |      1096.67 |      1763.83 |                 82.32 |                    0.10 |    225 |     3.4235 |
|        1 |         24 |          1737.40 |      1096.67 |      1802.63 |                 44.93 |                    0.10 |    230 |     3.5045 |
|        1 |         25 |          1737.40 |      1096.67 |      1760.82 |                 89.95 |                    0.10 |    234 |     3.5908 |
|        1 |         26 |          1737.40 |      1096.67 |      1827.40 |                 33.17 |                    0.10 |    237 |     3.7037 |
|        1 |         27 |          1737.40 |      1096.67 |      1757.78 |                 73.13 |                    0.10 |    241 |     3.8502 |
|        1 |         28 |          1737.40 |      1096.67 |      1776.70 |                 49.62 |                    0.10 |    244 |     3.9645 |
|        1 |         29 |          1737.40 |      1096.67 |      1792.70 |                 69.25 |                    0.10 |    253 |     4.0664 |
|        1 |         30 |          1737.40 |      1096.67 |      1723.94 |                 54.52 |                    0.10 |    260 |     4.2034 |
|        1 |         31 |          1737.40 |      1096.67 |      1758.55 |                 73.17 |                    0.10 |    260 |     4.2929 |
|        1 |         32 |          1737.40 |      1096.67 |      1775.41 |                 52.89 |                    0.10 |    262 |     4.3644 |
|        1 |         33 |          1737.40 |      1096.67 |      1736.54 |                 49.04 |                    0.10 |    264 |     4.4449 |
|        1 |         34 |          1737.40 |      1096.67 |      1758.30 |                 38.98 |                    0.10 |    270 |     4.5839 |
|        1 |         35 |          1737.40 |      1096.67 |      1733.70 |                 27.68 |                    0.10 |    271 |     4.7733 |
