Solving...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          0 |          1019.60 |      1019.60 |      1019.60 |                  0.71 |                    0.63 |     62 |     0.2594 |
|        1 |          0 |           986.30 |       986.30 |       986.30 |                  0.77 |                    0.68 |     73 |     0.9702 |
|        1 |          0 |           981.60 |       981.60 |       981.60 |                  0.85 |                    0.75 |     79 |     1.0847 |
|        1 |          1 |           981.60 |       981.60 |       982.30 |                  0.53 |                    0.47 |     80 |     1.1603 |
|        1 |          2 |           981.60 |       981.60 |      1000.17 |                  1.74 |                    1.55 |     84 |     1.2520 |
|        1 |          3 |           981.60 |       981.60 |       992.40 |                  1.78 |                    1.55 |     91 |     1.3713 |
|        1 |          4 |           981.60 |       981.60 |       995.40 |                  0.98 |                    0.84 |     95 |     1.4660 |
|        1 |          5 |           981.60 |       981.60 |       982.14 |                  1.72 |                    1.47 |    101 |     1.5955 |
|        1 |          6 |           981.60 |       981.60 |       985.54 |                  1.72 |                    1.46 |    104 |     1.6529 |
|        1 |          7 |           981.60 |       981.60 |       991.88 |                  1.07 |                    0.91 |    110 |     1.7280 |
|        1 |          0 |           975.30 |       975.30 |       975.30 |                  0.83 |                    0.71 |    113 |     1.9025 |
|        1 |          1 |           975.30 |       975.30 |       975.30 |                  1.14 |                    0.60 |    113 |     2.0063 |
|        1 |          2 |           975.30 |       975.30 |       975.30 |                  1.26 |                    0.66 |    113 |     2.1028 |
|        1 |          3 |           975.30 |       975.30 |       975.30 |                  1.30 |                    0.69 |    113 |     2.1678 |
|        1 |          4 |           975.30 |       975.30 |       975.30 |                  1.39 |                    0.70 |    113 |     2.2639 |
|        1 |          5 |           975.30 |       975.30 |       976.95 |                  2.28 |                    1.15 |    115 |     2.3305 |
|        1 |          0 |           973.00 |       973.00 |       973.00 |                  1.23 |                    0.61 |    118 |     2.4569 |
|        1 |          0 |           971.20 |       971.20 |       971.20 |                  1.22 |                    0.61 |    119 |     2.5613 |
|        1 |          0 |           969.10 |       969.10 |       969.10 |                  0.92 |                    0.43 |    122 |     2.6961 |
|        1 |          1 |           969.10 |       956.01 |       956.01 |                  1.67 |                    0.78 |    127 |     2.8686 |
|        1 |          2 |           969.10 |       956.01 |       984.05 |                  2.15 |                    1.01 |    132 |     2.9859 |
|        1 |          3 |           969.10 |       956.01 |       980.44 |                  2.49 |                    1.16 |    134 |     3.0662 |
|        1 |          4 |           969.10 |       956.01 |       980.10 |                  1.48 |                    0.69 |    140 |     3.1537 |
|        1 |          5 |           969.10 |       956.01 |       974.10 |                  1.39 |                    0.65 |    146 |     3.3527 |
|        1 |          6 |           969.10 |       956.01 |       974.23 |                  2.85 |                    1.33 |    146 |     3.4087 |
|        1 |          7 |           969.10 |       956.01 |       974.66 |                  2.08 |                    0.97 |    150 |     3.4897 |
|        1 |          8 |           969.10 |       956.01 |       982.00 |                  1.21 |                    0.56 |    157 |     3.5601 |
|        1 |          0 |           963.40 |       956.01 |       963.40 |                  1.04 |                    0.49 |    162 |     3.6706 |
|        1 |          1 |           963.40 |       956.01 |       960.87 |                  1.05 |                    0.47 |    166 |     3.8156 |
|        1 |          2 |           963.40 |       956.01 |       959.09 |                  1.04 |                    0.47 |    168 |     3.9197 |
|        1 |          3 |           963.40 |       956.01 |       959.37 |                  1.16 |                    0.52 |    168 |     4.0586 |
|        1 |          4 |           963.40 |       956.01 |       959.47 |                  1.30 |                    0.59 |    168 |     4.1459 |
|        1 |          0 |           959.50 |       956.01 |       959.50 |                  1.19 |                    0.54 |    168 |     4.2627 |
|        1 |          1 |           959.50 |       956.01 |       959.50 |                  2.14 |                    0.96 |    168 |     4.3463 |
|        1 |          2 |           959.50 |       956.01 |       959.50 |                  1.65 |                    0.74 |    168 |     4.4034 |
|        1 |          0 |           958.60 |       956.01 |       958.60 |                  1.23 |                    0.54 |    169 |     4.5283 |
|        1 |          1 |           958.60 |       956.01 |       958.60 |                  1.09 |                    0.46 |    169 |     4.6069 |
|        1 |          2 |           958.60 |       956.01 |       958.50 |                  1.04 |                    0.44 |    170 |     4.7703 |
|        1 |          3 |           958.60 |       956.01 |       959.12 |                  3.62 |                    1.53 |    175 |     4.8938 |
|        1 |          4 |           958.60 |       956.01 |       969.80 |                  1.08 |                    0.46 |    178 |     5.0904 |
|        1 |          5 |           958.60 |       956.01 |       972.52 |                  2.51 |                    1.06 |    180 |     5.2084 |
|        1 |          6 |           958.60 |       956.01 |       989.20 |                  0.91 |                    0.39 |    188 |     5.4072 |
|        1 |          7 |           958.60 |       956.01 |       983.40 |                  2.40 |                    1.01 |    190 |     5.4919 |
|        1 |          8 |           958.60 |       956.01 |       991.50 |                  1.15 |                    0.49 |    195 |     5.5557 |
|        1 |          9 |           958.60 |       956.01 |       982.87 |                  1.43 |                    0.60 |    197 |     5.6313 |
|        1 |         10 |           958.60 |       956.01 |       987.35 |                  2.54 |                    1.05 |    197 |     5.7036 |
|        1 |         11 |           958.60 |       956.01 |       989.20 |                  1.66 |                    0.69 |    202 |     5.7893 |
|        1 |         12 |           958.60 |       956.01 |       983.19 |                  2.22 |                    0.92 |    205 |     5.9033 |
|        1 |         13 |           958.60 |       956.01 |       987.45 |                  1.30 |                    0.54 |    205 |     6.0042 |
|        1 |         14 |           958.60 |       956.01 |       987.83 |                  2.31 |                    0.96 |    206 |     6.0884 |
|        1 |         15 |           958.60 |       956.01 |       989.94 |                  4.49 |                    1.86 |    206 |     6.1657 |
|        1 |         16 |           958.60 |       956.01 |       984.35 |                  3.94 |                    1.63 |    210 |     6.3611 |
|        1 |         17 |           958.60 |       956.01 |       993.50 |                  2.00 |                    0.83 |    213 |     6.4515 |
|        1 |         18 |           958.60 |       956.01 |       983.50 |                  1.19 |                    0.49 |    215 |     6.6485 |
|        1 |         19 |           958.60 |       956.01 |       977.99 |                  2.33 |                    0.95 |    219 |     6.8586 |
|        1 |         20 |           958.60 |       956.01 |       981.80 |                  1.22 |                    0.50 |    219 |     6.9296 |
|        1 |         21 |           958.60 |       956.01 |       979.47 |                  1.89 |                    0.77 |    219 |     7.0078 |
|        1 |         22 |           958.60 |       956.01 |       985.70 |                  4.10 |                    1.67 |    221 |     7.0781 |
|        1 |         23 |           958.60 |       956.01 |       978.60 |                  1.79 |                    0.71 |    224 |     7.2329 |
|        1 |         24 |           958.60 |       956.01 |       978.90 |                  1.35 |                    0.53 |    225 |     7.3503 |
|        1 |         25 |           958.60 |       956.01 |       976.20 |                  1.94 |                    0.76 |    225 |     7.4715 |
|        1 |         26 |           958.60 |       956.01 |       992.69 |                  3.16 |                    1.23 |    228 |     7.5434 |
|        1 |         27 |           958.60 |       956.01 |       988.10 |                  2.17 |                    0.85 |    229 |     7.7421 |
|        1 |         28 |           958.60 |       956.01 |       988.10 |                  2.08 |                    0.80 |    229 |     7.8092 |
|        1 |         29 |           958.60 |       956.01 |       981.33 |                  4.07 |                    1.56 |    234 |     7.9311 |
|        1 |         30 |           958.60 |       956.01 |       965.70 |                  2.29 |                    0.88 |    236 |     8.0177 |
|        1 |         31 |           958.60 |       956.01 |       964.40 |                  2.73 |                    1.04 |    238 |     8.0802 |
|        1 |         32 |           958.60 |       956.01 |       962.40 |                  2.58 |                    0.99 |    240 |     8.1825 |
|        1 |         33 |           958.60 |       956.01 |       964.40 |                  2.14 |                    0.82 |    242 |     8.2786 |
|        1 |         34 |           958.60 |       956.01 |       964.40 |                  2.19 |                    0.84 |    242 |     8.3477 |
|        1 |         35 |           958.60 |       956.01 |       964.40 |                  1.37 |                    0.51 |    242 |     8.4059 |
|        1 |         36 |           958.60 |       956.01 |       962.80 |                  1.64 |                    0.62 |    244 |     8.4588 |
|        1 |         37 |           958.60 |       956.01 |       962.80 |                  1.22 |                    0.46 |    244 |     8.5364 |
|        1 |         38 |           958.60 |       956.01 |       967.20 |                  1.80 |                    0.68 |    245 |     8.5972 |
|        1 |         39 |           958.60 |       956.01 |       960.08 |                  1.67 |                    0.63 |    247 |     8.6900 |
|        1 |         40 |           958.60 |       956.01 |       963.88 |                  1.29 |                    0.48 |    247 |     8.7775 |
|        1 |         41 |           958.60 |       956.01 |       962.92 |                  1.98 |                    0.74 |    247 |     8.8430 |
|        1 |         42 |           958.60 |       956.01 |       968.30 |                  2.40 |                    0.90 |    248 |     8.9269 |
|        1 |         43 |           958.60 |       956.01 |       971.40 |                  2.27 |                    0.85 |    248 |     8.9954 |
|        1 |         44 |           958.60 |       956.01 |       973.28 |                  2.57 |                    0.97 |    250 |     9.0808 |
|        1 |         45 |           958.60 |       956.01 |       978.39 |                  4.05 |                    1.52 |    251 |     9.1725 |
|        1 |         46 |           958.60 |       956.01 |       970.00 |                  2.98 |                    1.12 |    252 |     9.2588 |
|        1 |         47 |           958.60 |       956.01 |       968.80 |                  1.32 |                    0.50 |    252 |     9.3303 |
|        1 |         48 |           958.60 |       956.01 |       962.10 |                  1.06 |                    0.40 |    253 |     9.4072 |
|        1 |         49 |           958.60 |       956.01 |       962.10 |                  1.91 |                    0.72 |    253 |     9.4832 |
|        1 |         50 |           958.60 |       956.01 |       965.00 |                  1.94 |                    0.67 |    254 |     9.6148 |
