Solving...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |              Inf |      1413.73 |      1451.93 |                  7.77 |                    0.39 |     49 |     0.2209 |
|        1 |          2 |              Inf |      1413.73 |      1452.44 |                 20.63 |                    0.10 |     61 |     0.8443 |
|        1 |          3 |              Inf |      1413.73 |      1436.27 |                 21.66 |                    0.10 |     63 |     1.0471 |
|        1 |          4 |              Inf |      1413.73 |      1448.49 |                 17.83 |                    0.10 |     63 |     1.1410 |
|        1 |          5 |              Inf |      1413.73 |      1430.52 |                 13.93 |                    0.10 |     64 |     1.2613 |
|        1 |          6 |              Inf |      1413.73 |      1432.60 |                 20.65 |                    0.10 |     64 |     1.3622 |
|        1 |          7 |              Inf |      1413.73 |      1446.03 |                  9.89 |                    0.10 |     64 |     1.4523 |
|        1 |          8 |              Inf |      1413.73 |      1437.20 |                 19.24 |                    0.10 |     66 |     1.5323 |
|        1 |          0 |          1436.20 |      1413.73 |      1436.20 |                 18.37 |                    0.10 |     71 |     1.6436 |
|        1 |          1 |          1436.20 |      1413.73 |      1448.70 |                 12.88 |                    0.10 |     73 |     1.7208 |
|        1 |          2 |          1436.20 |      1413.73 |      1438.05 |                 15.32 |                    0.10 |     74 |     1.8304 |
|        1 |          3 |          1436.20 |      1413.73 |      1446.90 |                 17.71 |                    0.10 |     78 |     1.9166 |
|        1 |          4 |          1436.20 |      1413.73 |      1455.90 |                 15.63 |                    0.10 |     81 |     1.9914 |
|        1 |          5 |          1436.20 |      1413.73 |      1440.03 |                 13.97 |                    0.10 |     84 |     2.1871 |
|        1 |          6 |          1436.20 |      1413.73 |      1437.60 |                 13.33 |                    0.10 |     88 |     2.3039 |
|        1 |          0 |          1419.20 |      1413.73 |      1419.20 |                 10.58 |                    0.10 |     97 |     2.4826 |
|        1 |          1 |          1419.20 |      1413.73 |      1419.20 |                  4.41 |                    0.10 |     97 |     2.5576 |
|        1 |          2 |          1419.20 |      1413.73 |      1441.00 |                  7.56 |                    0.10 |    104 |     2.7554 |
|        1 |          3 |          1419.20 |      1413.73 |      1440.26 |                  8.15 |                    0.10 |    105 |     2.8414 |
|        1 |          4 |          1419.20 |      1413.73 |      1429.68 |                  9.62 |                    0.10 |    110 |     3.0705 |
|        1 |          5 |          1419.20 |      1413.73 |      1422.50 |                 10.23 |                    0.10 |    112 |     3.2424 |
|        1 |          6 |          1419.20 |      1413.73 |      1419.30 |                  5.05 |                    0.10 |    113 |     3.3304 |
|        1 |          7 |          1419.20 |      1396.19 |      1396.19 |                  6.85 |                    0.12 |    113 |     3.4118 |
|        1 |          8 |          1419.20 |      1396.19 |      1407.06 |                 13.87 |                    0.10 |    113 |     3.4884 |
|        1 |          9 |          1419.20 |      1396.19 |      1419.30 |                  6.26 |                    0.10 |    113 |     3.5857 |
|        1 |         10 |          1419.20 |      1396.19 |      1417.34 |                 13.98 |                    0.11 |    117 |     3.7204 |
|        1 |         11 |          1419.20 |      1396.19 |      1434.69 |                 21.70 |                    0.15 |    121 |     3.8956 |
|        1 |         12 |          1419.20 |      1396.19 |      1439.52 |                 14.02 |                    0.10 |    124 |     4.0110 |
|        1 |         13 |          1419.20 |      1396.19 |      1439.32 |                 20.22 |                    0.10 |    124 |     4.0741 |
|        1 |         14 |          1419.20 |      1396.19 |      1439.70 |                 12.94 |                    0.10 |    126 |     4.1813 |
|        1 |         15 |          1419.20 |      1396.19 |      1439.03 |                 17.55 |                    0.10 |    126 |     4.2662 |
|        1 |         16 |          1419.20 |      1396.19 |      1441.40 |                 24.79 |                    0.10 |    127 |     4.3443 |
|        1 |         17 |          1419.20 |      1396.19 |      1439.70 |                 13.54 |                    0.10 |    127 |     4.4126 |
|        1 |         18 |          1419.20 |      1396.19 |      1438.65 |                 14.29 |                    0.10 |    127 |     4.5082 |
|        1 |         19 |          1419.20 |      1396.19 |      1439.63 |                 15.24 |                    0.10 |    131 |     4.5952 |
|        1 |         20 |          1419.20 |      1396.19 |      1439.74 |                 13.58 |                    0.10 |    131 |     4.6789 |
|        1 |         21 |          1419.20 |      1396.19 |      1459.10 |                 17.38 |                    0.10 |    133 |     4.7316 |
|        1 |         22 |          1419.20 |      1396.19 |      1467.11 |                 12.74 |                    0.10 |    138 |     4.9316 |
|        1 |         23 |          1419.20 |      1396.19 |      1458.87 |                 17.09 |                    0.10 |    142 |     5.0292 |
|        1 |         24 |          1419.20 |      1396.19 |      1435.00 |                  6.37 |                    0.10 |    145 |     5.1387 |
|        1 |         25 |          1419.20 |      1383.80 |      1383.80 |                 15.46 |                    0.10 |    151 |     5.3515 |
|        1 |         26 |          1419.20 |      1383.80 |      1441.50 |                  7.34 |                    0.10 |    155 |     5.4125 |
|        1 |         27 |          1419.20 |      1383.80 |      1428.62 |                  8.74 |                    0.10 |    157 |     5.4925 |
|        1 |         28 |          1419.20 |      1383.80 |      1436.22 |                 14.35 |                    0.10 |    158 |     5.5602 |
|        1 |         29 |          1419.20 |      1383.80 |      1444.70 |                 15.17 |                    0.10 |    160 |     5.6267 |
|        1 |         30 |          1419.20 |      1383.80 |      1441.66 |                 11.04 |                    0.10 |    163 |     5.7510 |
|        1 |          0 |          1418.10 |      1383.80 |      1418.10 |                  7.73 |                    0.10 |    166 |     5.8401 |
|        1 |          1 |          1418.10 |      1383.80 |      1434.43 |                 13.32 |                    0.10 |    170 |     5.9390 |
|        1 |          2 |          1418.10 |      1383.80 |      1424.10 |                 23.80 |                    0.10 |    174 |     6.0791 |
|        1 |          0 |          1418.00 |      1383.80 |      1418.00 |                 14.34 |                    0.10 |    174 |     6.1863 |
|        1 |          1 |          1418.00 |      1383.80 |      1467.00 |                  9.18 |                    0.10 |    181 |     6.2752 |
|        1 |          2 |          1418.00 |      1383.80 |      1409.64 |                  6.65 |                    0.11 |    184 |     6.4635 |
|        1 |          3 |          1418.00 |      1383.80 |      1439.73 |                  6.04 |                    0.10 |    190 |     6.5386 |
|        1 |          4 |          1418.00 |      1383.80 |      1401.41 |                 17.15 |                    0.10 |    193 |     6.6492 |
|        1 |          0 |          1415.80 |      1383.80 |      1415.80 |                  9.54 |                    0.10 |    197 |     6.7452 |
|        1 |          1 |          1415.80 |      1383.80 |      1415.53 |                 19.68 |                    0.12 |    197 |     6.8383 |
|        1 |          2 |          1415.80 |      1383.80 |      1418.20 |                 16.50 |                    0.10 |    199 |     6.9253 |
|        1 |          3 |          1415.80 |      1383.80 |      1418.20 |                 13.70 |                    0.10 |    199 |     7.0143 |
|        1 |          4 |          1415.80 |      1383.80 |      1414.69 |                 15.67 |                    0.10 |    201 |     7.0958 |
|        1 |          0 |          1415.70 |      1383.80 |      1415.70 |                 14.24 |                    0.10 |    201 |     7.1945 |
|        1 |          1 |          1415.70 |      1383.80 |      1410.34 |                 15.45 |                    0.10 |    202 |     7.3154 |
|        1 |          2 |          1415.70 |      1383.80 |      1451.45 |                 15.78 |                    0.10 |    205 |     7.4480 |
|        1 |          3 |          1415.70 |      1383.80 |      1413.38 |                 17.49 |                    0.10 |    209 |     7.5682 |
|        1 |          4 |          1415.70 |      1383.80 |      1407.52 |                 15.24 |                    0.10 |    211 |     7.6848 |
|        1 |          5 |          1415.70 |      1383.80 |      1402.71 |                 14.24 |                    0.10 |    211 |     7.8188 |
|        1 |          6 |          1415.70 |      1383.80 |      1405.26 |                 20.68 |                    0.10 |    211 |     7.9430 |
|        1 |          7 |          1415.70 |      1383.80 |      1405.43 |                  6.63 |                    0.10 |    213 |     8.0723 |
|        1 |          8 |          1415.70 |      1383.80 |      1393.06 |                 16.07 |                    0.10 |    213 |     8.1467 |
|        1 |          9 |          1415.70 |      1383.80 |      1427.11 |                 15.07 |                    0.10 |    214 |     8.2230 |
|        1 |         10 |          1415.70 |      1383.80 |      1427.23 |                 17.24 |                    0.10 |    214 |     8.3085 |
|        1 |         11 |          1415.70 |      1383.80 |      1426.70 |                 13.87 |                    0.10 |    216 |     8.4230 |
|        1 |         12 |          1415.70 |      1383.80 |      1419.22 |                 15.25 |                    0.10 |    217 |     8.5048 |
|        1 |         13 |          1415.70 |      1383.80 |      1420.25 |                 10.69 |                    0.10 |    217 |     8.5724 |
|        1 |         14 |          1415.70 |      1383.80 |      1417.92 |                 18.26 |                    0.10 |    218 |     8.6437 |
|        1 |         15 |          1415.70 |      1383.80 |      1460.80 |                 12.11 |                    0.10 |    225 |     9.0884 |
|        1 |         16 |          1415.70 |      1383.80 |      1458.12 |                 10.59 |                    0.10 |    225 |     9.1545 |
|        1 |         17 |          1415.70 |      1383.80 |      1451.75 |                 15.82 |                    0.10 |    229 |     9.3019 |
|        1 |          0 |          1410.10 |      1383.80 |      1410.10 |                 13.59 |                    0.10 |    234 |     9.5821 |
|        1 |          0 |          1401.90 |      1383.80 |      1401.90 |                 15.00 |                    0.11 |    236 |     9.7568 |
|        1 |          1 |          1401.90 |      1383.80 |      1433.18 |                 16.98 |                    0.10 |    241 |     9.8597 |
|        1 |          2 |          1401.90 |      1383.80 |      1442.41 |                 20.59 |                    0.10 |    243 |     9.9702 |
|        1 |          3 |          1401.90 |      1378.74 |      1378.74 |                 13.79 |                    0.10 |    244 |    10.1398 |
|        1 |          4 |          1401.90 |      1376.47 |      1376.47 |                 13.72 |                    0.10 |    244 |    10.2223 |
|        1 |          5 |          1401.90 |      1376.47 |      1376.61 |                 14.20 |                    0.10 |    244 |    10.2989 |
|        1 |          6 |          1401.90 |      1376.47 |      1407.65 |                 23.54 |                    0.10 |    246 |    10.3726 |
|        1 |          7 |          1401.90 |      1376.47 |      1425.22 |                 14.74 |                    0.10 |    246 |    10.6823 |
|        1 |          8 |          1401.90 |      1376.47 |      1425.50 |                 18.98 |                    0.10 |    248 |    10.8021 |
|        1 |          9 |          1401.90 |      1376.47 |      1425.50 |                 20.21 |                    0.16 |    249 |    10.9302 |
|        1 |         10 |          1401.90 |      1376.47 |      1439.00 |                 12.53 |                    0.10 |    253 |    11.0540 |
|        1 |         11 |          1401.90 |      1376.47 |      1388.88 |                 10.38 |                    0.10 |    257 |    11.2505 |
|        1 |         12 |          1401.90 |      1376.47 |      1434.47 |                 11.64 |                    0.10 |    261 |    11.3417 |
|        1 |         13 |          1401.90 |      1376.47 |      1429.54 |                  9.86 |                    0.10 |    264 |    11.4380 |
|        1 |         14 |          1401.90 |      1376.47 |      1424.45 |                 12.36 |                    0.10 |    264 |    11.5136 |
|        1 |         15 |          1401.90 |      1376.47 |      1432.53 |                 12.81 |                    0.10 |    266 |    11.5886 |
|        1 |         16 |          1401.90 |      1376.47 |      1456.10 |                 10.38 |                    0.14 |    269 |    11.7610 |
|        1 |         17 |          1401.90 |      1376.47 |      1435.06 |                 14.20 |                    0.10 |    269 |    11.8652 |
|        1 |         18 |          1401.90 |      1376.47 |      1448.24 |                 11.22 |                    0.10 |    270 |    11.9690 |
|        1 |         19 |          1401.90 |      1376.47 |      1435.78 |                  9.32 |                    0.10 |    270 |    12.0754 |
|        1 |         20 |          1401.90 |      1376.47 |      1488.46 |                  9.00 |                    0.10 |    273 |    12.1686 |
|        1 |         21 |          1401.90 |      1376.47 |      1461.45 |                 12.81 |                    0.10 |    278 |    12.2913 |
|        1 |         22 |          1401.90 |      1376.47 |      1510.60 |                 10.83 |                    0.10 |    284 |    12.4110 |
|        1 |         23 |          1401.90 |      1376.47 |      1536.63 |                 23.08 |                    0.13 |    286 |    12.4746 |
|        1 |         24 |          1401.90 |      1376.47 |      1445.60 |                 16.18 |                    0.12 |    286 |    12.5653 |
|        1 |         25 |          1401.90 |      1376.47 |      1448.90 |                  8.32 |                    0.10 |    291 |    12.6511 |
|        1 |         26 |          1401.90 |      1376.47 |      1448.90 |                  9.15 |                    0.10 |    291 |    12.7463 |
|        1 |         27 |          1401.90 |      1376.47 |      1430.79 |                 15.88 |                    0.14 |    294 |    12.8969 |
|        1 |         28 |          1401.90 |      1376.47 |      1477.90 |                  9.03 |                    0.10 |    300 |    12.9776 |
|        1 |         29 |          1401.90 |      1376.47 |      1449.30 |                 13.34 |                    0.12 |    307 |    13.1283 |
|        1 |         30 |          1401.90 |      1376.47 |      1468.10 |                 11.89 |                    0.13 |    313 |    13.3746 |
|        1 |         31 |          1401.90 |      1376.47 |      1468.10 |                 10.09 |                    0.10 |    313 |    13.4487 |
|        1 |         32 |          1401.90 |      1376.47 |      1431.70 |                  9.14 |                    0.10 |    315 |    13.5856 |
|        1 |         33 |          1401.90 |      1376.47 |      1418.43 |                 11.60 |                    0.10 |    319 |    13.7729 |
|        1 |         34 |          1401.90 |      1376.47 |      1452.52 |                 16.19 |                    0.10 |    319 |    13.8766 |
|        1 |         35 |          1401.90 |      1376.47 |      1427.20 |                 15.02 |                    0.10 |    321 |    13.9636 |
|        1 |         36 |          1401.90 |      1376.47 |      1485.62 |                 12.72 |                    0.10 |    323 |    14.0536 |
|        1 |         37 |          1401.90 |      1376.47 |      1444.66 |                 26.75 |                    0.17 |    328 |    14.3307 |
|        1 |         38 |          1401.90 |      1376.47 |      1470.50 |                 10.60 |                    0.10 |    331 |    14.4173 |
|        1 |         39 |          1401.90 |      1376.47 |      1410.90 |                  5.10 |                    0.10 |    332 |    14.5999 |
|        1 |         40 |          1401.90 |      1376.47 |      1403.89 |                  9.82 |                    0.17 |    335 |    14.6663 |
|        1 |         41 |          1401.90 |      1376.47 |      1396.54 |                 15.47 |                    0.10 |    339 |    14.8888 |
|        1 |         42 |          1401.90 |      1376.47 |      1411.55 |                 14.30 |                    0.10 |    341 |    15.0164 |
|        1 |         43 |          1401.90 |      1376.47 |      1435.68 |                 31.70 |                    0.12 |    342 |    15.0792 |
|        1 |          0 |          1392.20 |      1376.47 |      1392.20 |                 10.35 |                    0.10 |    343 |    15.2079 |
|        1 |          1 |          1392.20 |      1376.47 |      1392.20 |                  5.37 |                    0.11 |    343 |    15.2921 |
|        1 |          2 |          1392.20 |      1376.47 |      1395.50 |                 10.98 |                    0.10 |    344 |    15.3710 |
|        1 |          3 |          1392.20 |      1376.47 |      1391.29 |                  7.61 |                    0.10 |    345 |    15.4613 |
|        1 |          4 |          1392.20 |      1376.47 |      1382.10 |                 14.92 |                    0.10 |    346 |    15.5569 |
|        1 |          5 |          1392.20 |      1376.47 |      1383.27 |                 13.67 |                    0.10 |    346 |    15.6786 |
|        1 |          6 |          1392.20 |      1376.47 |      1396.09 |                 14.88 |                    0.10 |    348 |    15.7646 |
