Solving...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |              Inf |        45.25 |        45.32 |                  0.99 |                    0.10 |      5 |     0.0295 |
|        1 |          2 |              Inf |        45.22 |        45.22 |                  0.99 |                    0.10 |      5 |     0.4260 |
|        1 |          3 |              Inf |        45.20 |        45.20 |                  1.06 |                    0.10 |      5 |     0.4261 |
|        1 |          4 |              Inf |        45.19 |        45.19 |                  1.01 |                    0.10 |      5 |     0.4263 |
|        1 |          5 |              Inf |        45.19 |        45.21 |                  1.08 |                    0.10 |      5 |     0.4266 |
|        1 |          6 |              Inf |        45.19 |        45.67 |                  0.96 |                    0.10 |      5 |     0.4268 |
|        1 |          7 |              Inf |        45.19 |        45.25 |                  1.07 |                    0.10 |      5 |     0.4270 |
|        1 |          8 |              Inf |        45.19 |        45.29 |                  0.99 |                    0.10 |      5 |     0.4271 |
|        1 |          9 |              Inf |        45.19 |        45.19 |                  1.06 |                    0.10 |      5 |     0.4273 |
|        1 |         10 |              Inf |        45.17 |        45.17 |                  1.02 |                    0.10 |      5 |     0.4276 |
|        1 |         11 |              Inf |        45.17 |        45.25 |                  1.14 |                    0.10 |      5 |     0.4277 |
|        1 |         12 |              Inf |        45.17 |        45.21 |                  1.10 |                    0.10 |      5 |     0.4278 |
|        1 |         13 |              Inf |        45.17 |        45.19 |                  1.12 |                    0.10 |      5 |     0.4280 |
|        1 |         14 |              Inf |        45.17 |        45.27 |                  1.07 |                    0.10 |      5 |     0.4281 |
|        1 |         15 |              Inf |        45.17 |        45.31 |                  1.03 |                    0.10 |      5 |     0.4284 |
|        1 |         16 |              Inf |        45.17 |        45.23 |                  1.08 |                    0.10 |      5 |     0.4286 |
|        1 |         17 |              Inf |        45.17 |        45.19 |                  1.04 |                    0.10 |      5 |     0.4287 |
|        1 |         18 |              Inf |        45.17 |        45.19 |                  1.08 |                    0.10 |      5 |     0.4291 |
|        1 |         19 |              Inf |        45.17 |        45.26 |                  1.08 |                    0.10 |      5 |     0.4293 |
|        1 |         20 |              Inf |        45.17 |        45.28 |                  1.05 |                    0.10 |      5 |     0.4294 |
|        1 |         21 |              Inf |        45.17 |        45.17 |                  1.08 |                    0.10 |      5 |     0.4296 |
|        1 |         22 |              Inf |        45.04 |        45.04 |                  1.04 |                    0.10 |      5 |     0.4298 |
|        1 |         23 |              Inf |        45.04 |        45.25 |                  1.01 |                    0.10 |      5 |     0.4301 |
|        1 |         24 |              Inf |        45.04 |        45.23 |                  1.01 |                    0.10 |      5 |     0.4303 |
|        1 |         25 |              Inf |        45.04 |        45.22 |                  1.07 |                    0.10 |      5 |     0.4305 |
|        1 |         26 |              Inf |        45.04 |        45.19 |                  1.03 |                    0.10 |      5 |     0.4307 |
|        1 |         27 |              Inf |        45.04 |        45.17 |                  1.17 |                    0.10 |      5 |     0.4310 |
|        1 |         28 |              Inf |        45.04 |        45.30 |                  1.06 |                    0.10 |      5 |     0.4313 |
|        1 |         29 |              Inf |        45.04 |        45.30 |                  1.02 |                    0.10 |      5 |     0.4317 |
|        1 |         30 |              Inf |        45.04 |        45.23 |                  1.07 |                    0.10 |      5 |     0.4319 |
|        1 |         31 |              Inf |        45.04 |        45.28 |                  1.04 |                    0.10 |      5 |     0.4320 |
|        1 |         32 |              Inf |        45.04 |        45.33 |                  1.32 |                    0.12 |      5 |     0.4321 |
|        1 |          0 |            74.50 |        45.04 |        74.50 |                  0.98 |                    0.10 |      7 |     0.4322 |
|        1 |          1 |            74.50 |        45.04 |        45.22 |                  1.03 |                    0.10 |      7 |     0.4324 |
|        1 |          2 |            74.50 |        45.04 |        45.33 |                  1.09 |                    0.10 |      7 |     0.4326 |
|        1 |          3 |            74.50 |        45.04 |        45.23 |                  1.03 |                    0.10 |      7 |     0.4328 |
|        1 |          4 |            74.50 |        45.04 |        45.36 |                  1.27 |                    0.12 |      7 |     0.4329 |
|        1 |          5 |            74.50 |        45.04 |        45.28 |                  1.08 |                    0.10 |      7 |     0.4332 |
|        1 |          6 |            74.50 |        45.04 |        45.26 |                  1.00 |                    0.10 |      7 |     0.4334 |
|        1 |          7 |            74.50 |        45.04 |        45.25 |                  1.05 |                    0.10 |      7 |     0.4335 |
|        1 |          8 |            74.50 |        45.04 |        45.39 |                  0.99 |                    0.10 |      7 |     0.4337 |
|        1 |          9 |            74.50 |        45.04 |        45.20 |                  1.08 |                    0.10 |      7 |     0.4338 |
|        1 |         10 |            74.50 |        45.04 |        45.21 |                  1.08 |                    0.10 |      7 |     0.4340 |
|        1 |         11 |            74.50 |        45.04 |        45.22 |                  1.06 |                    0.10 |      7 |     0.4343 |
|        1 |         12 |            74.50 |        45.04 |        45.29 |                  1.05 |                    0.10 |      7 |     0.4345 |
|        1 |         13 |            74.50 |        45.04 |        45.25 |                  1.05 |                    0.10 |      7 |     0.4347 |
|        1 |         14 |            74.50 |        45.04 |        45.27 |                  1.10 |                    0.10 |      7 |     0.4348 |
|        1 |         15 |            74.50 |        45.04 |        45.32 |                  1.13 |                    0.10 |      7 |     0.4350 |
|        1 |         16 |            74.50 |        45.04 |        45.20 |                  1.01 |                    0.10 |      7 |     0.4354 |
|        1 |         17 |            74.50 |        45.04 |        45.19 |                  1.01 |                    0.10 |      7 |     0.4356 |
|        1 |         18 |            74.50 |        45.04 |        45.38 |                  1.04 |                    0.10 |      7 |     0.4358 |
