Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/C108_100_025.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |          1342.70 |      1326.03 |      1326.03 |                 28.33 |                   10.42 |     26 |     0.2189 |
|        1 |          2 |          1342.70 |      1287.98 |      1287.98 |                 21.81 |                    5.00 |     34 |     0.9399 |
|        1 |          3 |          1342.70 |      1287.98 |      1309.66 |                 15.93 |                    5.00 |     35 |     1.0420 |
|        1 |          4 |          1342.70 |      1287.98 |      1295.42 |                 39.40 |                    5.00 |     39 |     1.1423 |
|        1 |          0 |          1329.90 |      1287.98 |      1329.90 |                 22.40 |                    5.00 |     45 |     1.2434 |
|        1 |          1 |          1329.90 |      1287.98 |      1329.29 |                 40.29 |                    5.00 |     47 |     1.3169 |
|        1 |          0 |          1306.70 |      1287.98 |      1306.70 |                 26.91 |                    5.00 |     57 |     1.4143 |
|        1 |          1 |          1306.70 |      1263.52 |      1263.52 |                 20.68 |                    5.00 |     59 |     1.4929 |
|        1 |          2 |          1306.70 |      1263.52 |      1271.20 |                 41.08 |                    5.00 |     64 |     1.5635 |
|        1 |          0 |          1295.60 |      1263.52 |      1295.60 |                 14.82 |                    5.00 |     69 |     1.7633 |
|        1 |          1 |          1295.60 |      1263.52 |      1282.63 |                 17.95 |                    5.00 |     69 |     1.9211 |
|        1 |          2 |          1295.60 |      1263.52 |      1310.32 |                 20.58 |                    5.00 |     74 |     2.0262 |
|        1 |          3 |          1295.60 |      1263.52 |      1280.54 |                 29.09 |                    5.00 |     75 |     2.1110 |
|        1 |          0 |          1292.00 |      1263.52 |      1292.00 |                 17.06 |                    5.00 |     75 |     2.1875 |
|        1 |          1 |          1292.00 |      1263.52 |      1282.78 |                 26.90 |                    5.00 |     77 |     2.2868 |
|        1 |          2 |          1292.00 |      1263.52 |      1301.50 |                 16.08 |                    5.00 |     79 |     2.3872 |
|        1 |          3 |          1292.00 |      1263.52 |      1299.95 |                 24.12 |                    5.00 |     82 |     2.4990 |
|        1 |          4 |          1292.00 |      1263.52 |      1322.60 |                 16.45 |                    5.00 |     83 |     2.5571 |
|        1 |          5 |          1292.00 |      1263.52 |      1297.55 |                 23.93 |                    5.00 |     85 |     2.6774 |
|        1 |          6 |          1292.00 |      1263.52 |      1315.40 |                 27.15 |                    5.00 |     87 |     2.8127 |
|        1 |          7 |          1292.00 |      1263.52 |      1280.71 |                 27.78 |                    5.00 |     88 |     3.0554 |
|        1 |          8 |          1292.00 |      1263.52 |      1307.05 |                 17.45 |                    5.00 |     90 |     3.2817 |
|        1 |          9 |          1292.00 |      1263.52 |      1274.66 |                 35.01 |                    5.00 |     91 |     3.4497 |
|        1 |         10 |          1292.00 |      1263.52 |      1322.62 |                 27.99 |                    5.00 |     95 |     3.6034 |
|        1 |         11 |          1292.00 |      1263.52 |      1308.17 |                 24.25 |                    5.00 |     95 |     3.7169 |
|        1 |         12 |          1292.00 |      1263.52 |      1295.25 |                 41.91 |                    5.00 |     95 |     3.7873 |
|        1 |         13 |          1292.00 |      1263.52 |      1317.36 |                 45.13 |                    5.00 |    100 |     3.9200 |
|        1 |         14 |          1292.00 |      1263.52 |      1279.03 |                 21.91 |                    5.00 |    101 |     4.1918 |
|        1 |         15 |          1292.00 |      1263.52 |      1285.68 |                 40.60 |                    5.00 |    103 |     4.2534 |
|        1 |         16 |          1292.00 |      1263.52 |      1315.20 |                 58.59 |                    5.00 |    104 |     4.3214 |
|        1 |         17 |          1292.00 |      1263.52 |      1314.00 |                 21.83 |                    5.00 |    106 |     4.5042 |
|        1 |          0 |          1280.90 |      1263.52 |      1280.90 |                 13.19 |                    5.00 |    109 |     4.5877 |
|        1 |          1 |          1280.90 |      1224.43 |      1224.43 |                 28.09 |                    5.00 |    111 |     4.6668 |
|        1 |          2 |          1280.90 |      1224.43 |      1333.10 |                 46.19 |                    5.00 |    113 |     4.7174 |
|        1 |          0 |          1273.00 |      1224.43 |      1273.00 |                 15.58 |                    5.00 |    117 |     4.8475 |
|        1 |          1 |          1273.00 |      1224.43 |      1253.56 |                 30.65 |                    5.00 |    119 |     4.9147 |
|        1 |          2 |          1273.00 |      1224.43 |      1283.17 |                 45.12 |                    5.00 |    119 |     4.9841 |
|        1 |          3 |          1273.00 |      1224.43 |      1309.35 |                 33.29 |                    5.00 |    121 |     5.0596 |
|        1 |          4 |          1273.00 |      1224.43 |      1270.25 |                 42.10 |                    5.00 |    126 |     5.1558 |
|        1 |          5 |          1273.00 |      1224.43 |      1306.61 |                 60.74 |                    5.00 |    129 |     5.2172 |
|        1 |          6 |          1273.00 |      1224.43 |      1328.40 |                 37.05 |                    5.00 |    132 |     5.2960 |
|        1 |          7 |          1273.00 |      1224.43 |      1297.43 |                 27.15 |                    5.00 |    132 |     5.5235 |
|        1 |          8 |          1273.00 |      1224.43 |      1298.42 |                 31.41 |                    5.00 |    132 |     5.6020 |
|        1 |          9 |          1273.00 |      1224.43 |      1296.43 |                 26.90 |                    5.00 |    132 |     5.6905 |
|        1 |         10 |          1273.00 |      1224.43 |      1298.99 |                 35.14 |                    5.00 |    132 |     5.7413 |
|        1 |         11 |          1273.00 |      1224.43 |      1303.70 |                 17.90 |                    5.00 |    132 |     5.8423 |
|        1 |         12 |          1273.00 |      1224.43 |      1288.89 |                 16.63 |                    5.00 |    132 |     5.9231 |
|        1 |         13 |          1273.00 |      1224.43 |      1293.50 |                 36.51 |                    5.00 |    133 |     6.0150 |
|        1 |         14 |          1273.00 |      1224.43 |      1295.52 |                 20.05 |                    5.00 |    134 |     6.2247 |
|        1 |         15 |          1273.00 |      1224.43 |      1296.25 |                 30.13 |                    5.00 |    134 |     6.2845 |
|        1 |         16 |          1273.00 |      1224.43 |      1303.50 |                 23.37 |                    5.00 |    134 |     6.3850 |
|        1 |         17 |          1273.00 |      1224.43 |      1301.00 |                 28.71 |                    5.00 |    134 |     6.4804 |
|        1 |         18 |          1273.00 |      1224.43 |      1266.82 |                 22.61 |                    5.00 |    140 |     6.6673 |
|        1 |         19 |          1273.00 |      1224.43 |      1284.81 |                 31.97 |                    5.00 |    140 |     6.7343 |
|        1 |         20 |          1273.00 |      1224.43 |      1244.77 |                 27.31 |                    5.00 |    142 |     6.8821 |
|        1 |         21 |          1273.00 |      1224.43 |      1271.24 |                 48.64 |                    5.00 |    142 |     6.9374 |
|        1 |         22 |          1273.00 |      1224.43 |      1317.40 |                 25.24 |                    5.00 |    143 |     7.0496 |
|        1 |         23 |          1273.00 |      1224.43 |      1300.72 |                 33.91 |                    5.00 |    143 |     7.1359 |
|        1 |         24 |          1273.00 |      1224.43 |      1287.34 |                 55.82 |                    5.00 |    145 |     7.3414 |
|        1 |         25 |          1273.00 |      1224.43 |      1321.51 |                 96.48 |                    5.00 |    145 |     7.3934 |
|        1 |         26 |          1273.00 |      1224.43 |      1312.60 |                 28.28 |                    5.00 |    145 |     7.5254 |
|        1 |         27 |          1273.00 |      1224.43 |      1308.30 |                 39.85 |                    5.00 |    147 |     7.6596 |
|        1 |         28 |          1273.00 |      1224.43 |      1304.40 |                 32.13 |                    5.00 |    148 |     7.7556 |
|        1 |         29 |          1273.00 |      1224.43 |      1283.16 |                 46.68 |                    5.00 |    149 |     7.8918 |
|        1 |         30 |          1273.00 |      1224.43 |      1307.50 |                 35.10 |                    5.00 |    149 |     8.0005 |
|        1 |         31 |          1273.00 |      1224.43 |      1277.55 |                 21.11 |                    5.00 |    152 |     8.1748 |
|        1 |         32 |          1273.00 |      1224.43 |      1275.34 |                 27.85 |                    5.00 |    152 |     8.2404 |
|        1 |         33 |          1273.00 |      1224.43 |      1303.67 |                 43.53 |                    5.00 |    152 |     8.3502 |
|        1 |         34 |          1273.00 |      1224.43 |      1306.50 |                 30.99 |                    5.00 |    154 |     8.5717 |
|        1 |         35 |          1273.00 |      1224.43 |      1306.50 |                 39.65 |                    5.00 |    154 |     8.7365 |
|        1 |         36 |          1273.00 |      1224.43 |      1241.61 |                 21.87 |                    5.00 |    158 |     9.0677 |
|        1 |         37 |          1273.00 |      1224.43 |      1264.41 |                 34.88 |                    5.00 |    159 |     9.1500 |
|        1 |         38 |          1273.00 |      1224.43 |      1300.90 |                 23.47 |                    5.00 |    164 |     9.3037 |
|        1 |         39 |          1273.00 |      1224.43 |      1258.09 |                 22.19 |                    5.00 |    166 |     9.4428 |
|        1 |         40 |          1273.00 |      1224.43 |      1287.18 |                 26.74 |                    5.00 |    166 |     9.5199 |
|        1 |         41 |          1273.00 |      1224.43 |      1285.93 |                 36.90 |                    5.00 |    167 |     9.6764 |
|        1 |         42 |          1273.00 |      1224.43 |      1309.09 |                 27.77 |                    5.00 |    167 |     9.7587 |
|        1 |         43 |          1273.00 |      1224.43 |      1294.84 |                 48.96 |                    5.00 |    167 |     9.8148 |
|        1 |         44 |          1273.00 |      1224.43 |      1301.90 |                 29.29 |                    5.00 |    168 |     9.8971 |
|        1 |         45 |          1273.00 |      1224.43 |      1307.51 |                 27.72 |                    5.00 |    170 |     9.9892 |
|        1 |         46 |          1273.00 |      1224.43 |      1308.16 |                 32.67 |                    5.00 |    170 |    10.1616 |
|        1 |         47 |          1273.00 |      1224.43 |      1320.50 |                 39.69 |                    5.00 |    172 |    10.3213 |
|        1 |         48 |          1273.00 |      1224.43 |      1277.71 |                 15.97 |                    5.00 |    172 |    10.5840 |
|        1 |         49 |          1273.00 |      1224.43 |      1241.89 |                 29.01 |                    5.00 |    173 |    10.6470 |
|        1 |         50 |          1273.00 |      1224.43 |      1295.54 |                 28.88 |                    5.00 |    174 |    10.7415 |
|        1 |         51 |          1273.00 |      1224.43 |      1276.44 |                 56.81 |                    5.00 |    174 |    10.8099 |
|        1 |         52 |          1273.00 |      1224.43 |      1370.10 |                 23.87 |                    5.00 |    181 |    10.9755 |
|        1 |         53 |          1273.00 |      1224.43 |      1304.13 |                 30.77 |                    5.00 |    183 |    11.1925 |
|        1 |         54 |          1273.00 |      1224.43 |      1324.32 |                 49.46 |                    5.00 |    183 |    11.3380 |
|        1 |         55 |          1273.00 |      1224.43 |      1287.00 |                 21.52 |                    5.00 |    183 |    11.6246 |
|        1 |         56 |          1273.00 |      1224.43 |      1238.84 |                 25.66 |                    5.00 |    186 |    11.7612 |
|        1 |         57 |          1273.00 |      1224.43 |      1288.00 |                 13.85 |                    5.00 |    186 |    11.9482 |
|        1 |         58 |          1273.00 |      1217.98 |      1217.98 |                 23.66 |                    5.00 |    187 |    12.0557 |
|        1 |         59 |          1273.00 |      1217.98 |      1264.25 |                 48.92 |                    5.00 |    187 |    12.1366 |
|        1 |         60 |          1273.00 |      1217.98 |      1297.30 |                 26.76 |                    5.00 |    187 |    12.2048 |
|        1 |         61 |          1273.00 |      1217.98 |      1297.30 |                 35.99 |                    5.00 |    187 |    12.3488 |
|        1 |         62 |          1273.00 |      1217.98 |      1249.79 |                 21.69 |                    5.00 |    187 |    12.6224 |
|        1 |         63 |          1273.00 |      1217.98 |      1261.04 |                 45.74 |                    5.00 |    188 |    12.7273 |
|        1 |         64 |          1273.00 |      1217.98 |      1252.44 |                 31.24 |                    5.00 |    191 |    13.0307 |
|        1 |         65 |          1273.00 |      1217.98 |      1273.52 |                 63.94 |                    5.00 |    194 |    13.1316 |
|        1 |         66 |          1273.00 |      1217.98 |      1293.20 |                 25.04 |                    5.00 |    194 |    13.3529 |
|        1 |         67 |          1273.00 |      1217.98 |      1290.68 |                 24.94 |                    5.00 |    194 |    13.4490 |
|        1 |         68 |          1273.00 |      1217.98 |      1310.47 |                 26.06 |                    5.00 |    198 |    13.5892 |
|        1 |         69 |          1273.00 |      1217.98 |      1291.30 |                 16.38 |                    5.00 |    201 |    13.6830 |
|        1 |         70 |          1273.00 |      1217.98 |      1247.70 |                 30.48 |                    5.00 |    201 |    13.9381 |
|        1 |         71 |          1273.00 |      1217.98 |      1279.91 |                 52.17 |                    5.00 |    201 |    14.0023 |
|        1 |         72 |          1273.00 |      1217.98 |      1308.70 |                 30.24 |                    5.00 |    202 |    14.1229 |
