Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/R107_100_010.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          0 |          1161.30 |      1161.30 |      1161.30 |                  7.67 |                    5.00 |     25 |     0.6886 |
|        1 |          0 |          1152.60 |      1152.60 |      1152.60 |                  6.67 |                    5.00 |     32 |     1.3326 |
|        1 |          1 |          1152.60 |      1152.60 |      1160.10 |                  5.20 |                    5.20 |     34 |     1.4713 |
|        1 |          2 |          1152.60 |      1152.60 |      1165.80 |                  5.00 |                    5.00 |     36 |     1.6177 |
|        1 |          3 |          1152.60 |      1145.92 |      1145.92 |                  5.83 |                    5.00 |     42 |     1.8467 |
|        1 |          4 |          1152.60 |      1140.69 |      1140.69 |                  5.82 |                    6.22 |     47 |     2.2160 |
|        1 |          0 |          1146.10 |      1140.69 |      1146.10 |                  5.51 |                    5.00 |     54 |     2.3776 |
|        1 |          0 |          1142.70 |      1140.69 |      1142.70 |                  5.49 |                    5.00 |     55 |     2.5006 |
|        1 |          1 |          1142.70 |      1140.69 |      1142.63 |                  6.29 |                    5.00 |     55 |     2.6244 |
|        1 |          0 |          1127.30 |      1127.30 |      1127.30 |                  5.77 |                    5.00 |     60 |     2.8206 |
|        1 |          0 |          1126.20 |      1126.20 |      1126.20 |                  7.44 |                    5.00 |     60 |     2.9391 |
|        1 |          1 |          1126.20 |      1126.20 |      1126.20 |                  5.00 |                    5.00 |     60 |     3.0634 |
|        1 |          2 |          1126.20 |      1126.20 |      1126.20 |                  5.00 |                    5.00 |     60 |     3.1650 |
|        1 |          3 |          1126.20 |      1126.20 |      1126.20 |                  5.00 |                    5.00 |     60 |     3.2797 |
|        1 |          4 |          1126.20 |      1126.20 |      1129.00 |                  5.00 |                    5.00 |     62 |     3.4244 |
|        1 |          5 |          1126.20 |      1126.20 |      1132.96 |                  6.10 |                    5.00 |     64 |     3.5705 |
|        1 |          0 |          1126.10 |      1126.10 |      1126.10 |                  5.00 |                    5.00 |     65 |     3.7050 |
|        1 |          1 |          1126.10 |      1126.10 |      1129.70 |                  5.00 |                    5.00 |     65 |     3.8358 |
|        1 |          2 |          1126.10 |      1126.10 |      1132.30 |                  5.00 |                    5.00 |     70 |     4.0924 |
|        1 |          3 |          1126.10 |      1126.10 |      1135.30 |                  7.30 |                    5.00 |     72 |     4.2678 |
|        1 |          4 |          1126.10 |      1126.10 |      1146.60 |                  5.00 |                    5.00 |     75 |     4.4245 |
|        1 |          5 |          1126.10 |      1126.10 |      1139.20 |                  5.00 |                    5.00 |     80 |     4.6581 |
|        1 |          6 |          1126.10 |      1126.10 |      1126.50 |                  5.00 |                    5.00 |     83 |     4.8212 |
|        1 |          0 |          1118.60 |      1118.60 |      1118.60 |                  5.00 |                    7.82 |     86 |     5.0875 |
|        1 |          1 |          1118.60 |      1118.60 |      1126.90 |                  5.00 |                    8.53 |     87 |     5.2229 |
|        1 |          2 |          1118.60 |      1118.60 |      1126.30 |                  7.08 |                    5.00 |     88 |     5.4151 |
|        1 |          3 |          1118.60 |      1118.60 |      1124.50 |                  5.25 |                    5.26 |     92 |     5.6059 |
|        1 |          4 |          1118.60 |      1118.60 |      1123.60 |                  5.00 |                    5.00 |     93 |     5.8005 |
|        1 |          5 |          1118.60 |      1118.60 |      1120.50 |                  5.00 |                    5.00 |     96 |     5.9832 |
|        1 |          6 |          1118.60 |      1118.60 |      1120.50 |                  5.00 |                    5.00 |     96 |     6.0737 |
|        1 |          7 |          1118.60 |      1118.60 |      1120.50 |                  5.00 |                    5.00 |     96 |     6.1803 |
|        1 |          8 |          1118.60 |      1118.60 |      1127.80 |                  5.00 |                    5.00 |     99 |     6.2869 |
|        1 |          9 |          1118.60 |      1118.60 |      1120.50 |                  5.00 |                    5.00 |     99 |     6.4058 |
|        1 |         10 |          1118.60 |      1118.60 |      1123.60 |                  5.00 |                    5.00 |     99 |     6.5421 |
|        1 |         11 |          1118.60 |      1118.60 |      1123.60 |                  5.00 |                    5.26 |     99 |     6.6525 |
|        1 |         12 |          1118.60 |      1118.60 |      1123.60 |                  5.00 |                    5.00 |     99 |     6.7610 |
|        1 |         13 |          1118.60 |      1118.60 |      1123.60 |                  5.00 |                    5.00 |     99 |     6.8935 |
|        1 |         14 |          1118.60 |      1118.60 |      1124.70 |                  5.51 |                    5.00 |    101 |     7.0207 |
|        1 |         15 |          1118.60 |      1118.60 |      1124.70 |                  5.00 |                    5.00 |    101 |     7.1357 |
|        1 |         16 |          1118.60 |      1117.76 |      1117.76 |                  8.38 |                    5.00 |    103 |     7.2725 |
|        1 |         17 |          1118.60 |      1117.76 |      1122.40 |                  5.00 |                    5.00 |    104 |     7.4508 |
|        1 |         18 |          1118.60 |      1117.76 |      1122.40 |                  5.00 |                    5.00 |    104 |     7.5353 |
|        1 |         19 |          1118.60 |      1117.76 |      1131.60 |                  5.41 |                    5.00 |    106 |     7.6636 |
|        1 |         20 |          1118.60 |      1117.76 |      1131.30 |                  5.00 |                    5.00 |    107 |     7.7719 |
|        1 |         21 |          1118.60 |      1117.76 |      1131.30 |                  6.67 |                    8.22 |    108 |     7.8825 |
|        1 |         22 |          1118.60 |      1117.76 |      1131.30 |                  5.00 |                    5.00 |    108 |     7.9824 |
|        1 |         23 |          1118.60 |      1117.76 |      1138.30 |                  5.00 |                    7.23 |    111 |     8.1016 |
|        1 |         24 |          1118.60 |      1117.76 |      1137.00 |                  5.75 |                    5.00 |    112 |     8.3057 |
|        1 |         25 |          1118.60 |      1117.76 |      1141.40 |                  5.00 |                    5.00 |    117 |     8.4713 |
|        1 |         26 |          1118.60 |      1117.76 |      1141.40 |                  5.00 |                    5.00 |    117 |     8.5778 |
|        1 |         27 |          1118.60 |      1117.76 |      1131.90 |                  5.00 |                    5.26 |    121 |     8.7965 |
|        1 |         28 |          1118.60 |      1117.76 |      1131.90 |                  5.00 |                    5.00 |    121 |     8.9370 |
|        1 |         29 |          1118.60 |      1117.76 |      1129.60 |                  5.00 |                    5.00 |    122 |     9.0418 |
|        1 |         30 |          1118.60 |      1117.76 |      1139.00 |                  5.15 |                    5.00 |    124 |     9.1630 |
