Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/RC205_100_025.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          0 |          1404.20 |      1404.20 |      1404.20 |                  9.42 |                    9.81 |     19 |     0.2443 |
|        1 |          0 |          1318.20 |      1318.20 |      1318.20 |                  5.00 |                    5.00 |     27 |     1.1481 |
|        1 |          1 |          1318.20 |      1233.80 |      1233.80 |                  5.00 |                   14.07 |     33 |     1.2579 |
|        1 |          2 |          1318.20 |      1233.80 |      1235.01 |                  5.00 |                   11.84 |     33 |     1.3124 |
|        1 |          0 |          1238.00 |      1233.80 |      1238.00 |                  5.00 |                   12.27 |     37 |     1.3849 |
|        1 |          1 |          1238.00 |      1233.80 |      1238.00 |                  5.00 |                    8.13 |     37 |     1.4225 |
|        1 |          0 |          1226.80 |      1226.80 |      1226.80 |                  5.00 |                    5.00 |     39 |     1.4987 |
|        1 |          0 |          1220.90 |      1220.90 |      1220.90 |                  5.00 |                    5.00 |     42 |     1.5837 |
|        1 |          0 |          1218.40 |      1218.40 |      1218.40 |                  5.00 |                    5.00 |     47 |     1.6516 |
|        1 |          0 |          1208.20 |      1208.20 |      1208.20 |                  5.00 |                    5.00 |     53 |     1.7603 |
|        1 |          1 |          1208.20 |      1208.20 |      1209.20 |                  5.00 |                    5.00 |     55 |     1.8318 |
|        1 |          2 |          1208.20 |      1208.20 |      1209.20 |                  5.00 |                    5.00 |     55 |     1.8928 |
|        1 |          3 |          1208.20 |      1208.20 |      1208.20 |                  5.00 |                    5.00 |     55 |     1.9536 |
|        1 |          4 |          1208.20 |      1208.20 |      1208.20 |                  5.00 |                    5.00 |     55 |     2.0101 |
|        1 |          0 |          1192.10 |      1192.10 |      1192.10 |                  5.00 |                    5.00 |     62 |     2.1665 |
|        1 |          0 |          1189.70 |      1189.70 |      1189.70 |                  5.00 |                    5.00 |     66 |     2.2455 |
|        1 |          0 |          1184.30 |      1184.30 |      1184.30 |                  5.00 |                    5.00 |     67 |     2.3116 |
|        1 |          1 |          1184.30 |      1184.30 |      1186.60 |                  5.00 |                    5.00 |     68 |     2.3948 |
|        1 |          2 |          1184.30 |      1184.30 |      1184.30 |                  5.00 |                    5.00 |     68 |     2.4622 |
|        1 |          3 |          1184.30 |      1184.30 |      1189.00 |                  5.00 |                    5.00 |     69 |     2.5229 |
|        1 |          4 |          1184.30 |      1184.30 |      1184.40 |                  5.00 |                    5.00 |     70 |     2.5894 |
|        1 |          5 |          1184.30 |      1184.30 |      1192.20 |                  5.00 |                    5.52 |     72 |     2.7006 |
|        1 |          6 |          1184.30 |      1184.30 |      1192.20 |                  5.00 |                    5.00 |     72 |     2.7637 |
