instance,cost
C101_25_005,240.2
C101_25_010,298.8
C101_25_015,299.79999999999995
C101_25_020,357.4
C101_25_025,336.29999999999995
C102_25_005,220.4
C102_25_010,240.39999999999998
C102_25_015,268.6
C102_25_020,314.7
C102_25_025,275.0
C103_25_005,193.89999999999998
C103_25_010,222.29999999999998
C103_25_015,250.5
C103_25_020,257.6
C103_25_025,256.9
C104_25_005,190.0
C104_25_010,191.29999999999998
C104_25_015,248.3
C104_25_020,253.1
C104_25_025,249.79999999999998
C105_25_005,191.3
C105_25_010,256.4
C105_25_015,274.8
C105_25_020,287.0
C105_25_025,302.0
C106_25_005,249.60000000000002
C106_25_010,298.8
C106_25_015,299.8
C106_25_020,379.7
C106_25_025,310.4
C107_25_005,191.3
C107_25_010,191.3
C107_25_015,232.5
C107_25_020,274.8
C107_25_025,281.1
C108_25_005,191.3
C108_25_010,191.3
C108_25_015,213.8
C108_25_020,251.0
C108_25_025,249.7
C109_25_005,191.3
C109_25_010,191.3
C109_25_015,191.3
C109_25_020,191.3
C109_25_025,191.3
C201_25_005,214.7
C201_25_010,234.0
C201_25_015,234.0
C201_25_020,268.1
C201_25_025,285.7
C202_25_005,214.7
C202_25_010,224.1
C202_25_015,224.1
C202_25_020,238.2
C202_25_025,254.39999999999998
C203_25_005,214.7
C203_25_010,218.2
C203_25_015,218.2
C203_25_020,235.79999999999998
C203_25_025,235.29999999999995
C204_25_005,214.5
C204_25_010,214.5
C204_25_015,214.5
C204_25_020,214.5
C204_25_025,214.5
C205_25_005,214.7
C205_25_010,214.7
C205_25_015,228.10000000000002
C205_25_020,228.10000000000002
C205_25_025,234.0
C206_25_005,214.7
C206_25_010,214.7
C206_25_015,214.7
C206_25_020,220.49999999999997
C206_25_025,220.49999999999997
C207_25_005,214.5
C207_25_010,214.5
C207_25_015,214.5
C207_25_020,247.90000000000003
C207_25_025,244.4
C208_25_005,214.5
C208_25_010,214.5
C208_25_015,214.5
C208_25_020,214.5
C208_25_025,214.5
R101_25_005,617.0999999999999
R101_25_010,617.1
R101_25_015,617.1
R101_25_020,617.1
R101_25_025,623.4
R102_25_005,547.0999999999999
R102_25_010,547.1
R102_25_015,547.1
R102_25_020,547.8
R102_25_025,561.0999999999999
R103_25_005,462.19999999999993
R103_25_010,462.19999999999993
R103_25_015,463.5
R103_25_020,470.4
R103_25_025,463.50000000000006
R104_25_005,416.9
R104_25_010,416.8999999999999
R104_25_015,436.0
R104_25_020,440.59999999999997
R104_25_025,436.0
R105_25_005,530.5
R105_25_010,530.5
R105_25_015,530.5
R105_25_020,537.1
R105_25_025,537.1
R106_25_005,465.4
R106_25_010,465.4
R106_25_015,465.4
R106_25_020,479.0
R106_25_025,479.0
C101_25_005,240.20000000000002
C101_25_010,298.8
C101_25_015,299.79999999999995
C101_25_020,357.4
C101_25_025,336.3
C102_25_005,220.39999999999998
C102_25_010,240.4
C102_25_015,268.6
C102_25_020,310.9
C102_25_025,275.0
C103_25_005,193.89999999999998
C103_25_010,222.29999999999998
C103_25_015,250.5
C103_25_020,257.6
C103_25_025,256.9
C104_25_005,190.0
C104_25_010,191.3
C104_25_015,248.29999999999998
C104_25_020,253.1
C104_25_025,249.8
C105_25_005,191.3
C105_25_010,256.4
C105_25_015,274.8
C105_25_020,287.0
C105_25_025,304.8
C106_25_005,249.6
C106_25_010,298.8
C106_25_015,299.8
C106_25_020,379.7
C106_25_025,310.4
C107_25_005,191.3
C107_25_010,191.3
C107_25_015,232.5
C107_25_020,274.8
C107_25_025,281.1
C108_25_005,191.3
C108_25_010,191.3
C108_25_015,213.8
C108_25_020,251.0
C108_25_025,249.7
C109_25_005,191.3
C109_25_010,191.3
C109_25_015,191.3
C109_25_020,191.3
C109_25_025,191.3
C201_25_005,214.7
C201_25_010,234.0
C201_25_015,234.0
C201_25_020,268.1
C201_25_025,285.7
C202_25_005,214.7
C202_25_010,224.1
C202_25_015,224.1
C202_25_020,238.2
C202_25_025,254.39999999999998
C203_25_005,214.7
C203_25_010,218.2
C203_25_015,218.2
C203_25_020,235.79999999999998
C203_25_025,235.29999999999995
C204_25_005,214.5
C204_25_010,214.5
C204_25_015,214.5
C204_25_020,214.5
C204_25_025,214.5
C205_25_005,214.7
C205_25_010,214.7
C205_25_015,228.10000000000002
C205_25_020,228.10000000000002
C205_25_025,234.0
C206_25_005,214.7
C206_25_010,214.7
C206_25_015,214.7
C206_25_020,220.49999999999997
C206_25_025,220.49999999999997
C207_25_005,214.5
C207_25_010,214.5
C207_25_015,214.5
C207_25_020,244.4
C207_25_025,244.4
C208_25_005,214.5
C208_25_010,214.5
C208_25_015,214.5
C208_25_020,214.5
C208_25_025,214.5
R101_25_005,617.0999999999999
R101_25_010,617.0999999999999
R101_25_015,617.0999999999999
R101_25_020,617.1
R101_25_025,623.4
R102_25_005,547.0999999999999
R102_25_010,547.0999999999999
R102_25_015,547.0999999999999
R102_25_020,547.8
R102_25_025,561.1
R103_25_005,460.9
R103_25_010,462.19999999999993
R103_25_015,463.50000000000006
R103_25_020,470.4
R103_25_025,463.50000000000006
R104_25_005,416.9
R104_25_010,416.9
R104_25_015,436.0
R104_25_020,440.6
R104_25_025,436.0
R105_25_005,530.5
R105_25_010,530.5
R105_25_015,530.5
R105_25_020,537.1
R105_25_025,537.1
R106_25_005,465.4
R106_25_010,465.4
R106_25_015,465.4
R106_25_020,479.0
R106_25_025,479.0
R107_25_005,424.29999999999995
R107_25_010,430.8
R107_25_015,430.8
R107_25_020,430.8
R107_25_025,430.8
R108_25_005,399.2
R108_25_010,399.20000000000005
R108_25_015,404.40000000000003
R108_25_020,404.3999999999999
R108_25_025,410.59999999999997
R109_25_005,441.29999999999995
R109_25_010,441.29999999999995
R109_25_015,441.3
R109_25_020,441.29999999999995
R109_25_025,451.1
R110_25_005,444.1
R110_25_010,444.7
R110_25_015,444.7
R110_25_020,444.7
R110_25_025,446.5
R111_25_005,428.8
R111_25_010,428.8
R111_25_015,430.1
R111_25_020,438.79999999999995
R111_25_025,439.5
R112_25_005,393.0
R112_25_010,393.0
R112_25_015,398.19999999999993
R112_25_020,398.2
R112_25_025,398.2
R201_25_005,463.29999999999995
R201_25_010,463.29999999999995
R201_25_015,463.29999999999995
R201_25_020,463.29999999999995
R201_25_025,463.29999999999995
R202_25_005,410.5
R202_25_010,410.5
R202_25_015,410.5
R202_25_020,410.5
R202_25_025,410.5
R203_25_005,391.4
R203_25_010,391.4
R203_25_015,391.4
R203_25_020,391.4
R203_25_025,391.4
R204_25_005,359.1
R204_25_010,355.4
R204_25_015,357.5
R204_25_020,357.5
R204_25_025,359.09999999999997
R205_25_005,393.0
R205_25_010,393.0
R205_25_015,393.0
R205_25_020,393.0
R205_25_025,393.0
R206_25_005,374.4
R206_25_010,374.4
R206_25_015,374.4
R206_25_020,374.4
R206_25_025,374.4
R207_25_005,361.6
R207_25_010,361.6
R207_25_015,361.6
R207_25_020,361.6
R207_25_025,361.6
R208_25_005,330.2
R208_25_010,330.2
R208_25_015,334.6
R208_25_020,330.79999999999995
R208_25_025,334.6
R209_25_005,371.99999999999994
R209_25_010,371.99999999999994
R209_25_015,371.99999999999994
R209_25_020,371.99999999999994
R209_25_025,371.99999999999994
R210_25_005,404.59999999999997
R210_25_010,404.59999999999997
R210_25_015,404.6
R210_25_020,404.6
R210_25_025,404.6
R211_25_005,350.9
R211_25_010,350.9
R211_25_015,350.9
R211_25_020,350.9
R211_25_025,350.9
RC101_25_005,475.79999999999995
RC101_25_010,475.79999999999995
RC101_25_015,475.79999999999995
RC101_25_020,475.79999999999995
RC101_25_025,529.4
RC102_25_005,351.79999999999995
RC102_25_010,351.79999999999995
RC102_25_015,356.49999999999994
RC102_25_020,356.49999999999994
RC102_25_025,441.29999999999995
RC103_25_005,333.0
RC103_25_010,335.4
RC103_25_015,335.7
RC103_25_020,335.7
RC103_25_025,336.0
RC104_25_005,306.59999999999997
RC104_25_010,310.59999999999997
RC104_25_015,313.7
RC104_25_020,313.7
RC104_25_025,313.7
RC105_25_005,411.29999999999995
RC105_25_010,411.3
RC105_25_015,411.29999999999995
RC105_25_020,412.5
RC105_25_025,416.29999999999995
RC106_25_005,346.4
RC106_25_010,345.5
RC106_25_015,350.9
RC106_25_020,350.9
RC106_25_025,351.1
RC107_25_005,298.3
RC107_25_010,298.3
RC107_25_015,298.3
RC107_25_020,298.8
