C101_100_005 1157.5.
C101_100_010 1301.6999999999998.
C101_100_015 1506.9999999999998.
C101_100_020 1616.6.
C102_100_005 1055.5.
C102_100_010 1198.5.
C102_100_015 1369.6.
C102_100_020 1432.8999999999999.
C102_100_025 1592.8.
C103_100_005 909.1999999999999.
C103_100_010 941.8.
C103_100_015 1094.6999999999998.
C103_100_020 1158.8.
C103_100_025 1260.6.
C104_100_005 852.2.
C104_100_010 913.4.
C104_100_015 954.5.
C104_100_020 1014.3.
C104_100_025 1055.9.
C105_100_005 848.0.
C105_100_010 1183.9.
C105_100_015 1290.5.
C105_100_020 1477.8999999999999.
C105_100_025 1517.7.
C106_100_005 953.1.
C106_100_010 1140.3.
C106_100_015 1234.8.
C106_100_020 1300.5.
C106_100_025 1406.5.
C107_100_005 848.0.
C107_100_010 848.0.
C107_100_015 1197.8.
C107_100_020 1228.9.
C107_100_025 1433.1.
C108_100_005 848.0.
C108_100_010 851.8.
C108_100_015 1108.3.
C108_100_020 1147.6999999999998.
C108_100_025 1259.0.
C109_100_005 842.8.
C109_100_010 842.8.
C109_100_015 863.8.
C109_100_020 863.8.
C109_100_025 1108.2.
C201_100_005 660.4000000000001.
C201_100_010 744.2.
C201_100_015 783.1.
C201_100_020 873.0999999999999.
C201_100_025 1002.8.
C202_100_005 648.4.
C202_100_010 708.8000000000001.
C202_100_015 773.5.
C202_100_020 879.9.
C202_100_025 961.0.
C203_100_005 631.0.
C203_100_010 692.9000000000001.
C203_100_015 753.5999999999999.
C203_100_020 846.8.
C203_100_025 883.5999999999999.
C204_100_005 628.8999999999999.
C204_100_010 669.5999999999999.
C204_100_015 705.6999999999999.
C204_100_020 786.8999999999999.
C204_100_025 775.9.
C205_100_005 614.3.
C205_100_010 675.5999999999999.
C205_100_015 781.0999999999999.
C205_100_020 805.2.
C205_100_025 920.5.
C206_100_005 614.3.
C206_100_010 675.5999999999999.
C206_100_015 716.9.
C206_100_020 806.5999999999999.
C206_100_025 895.5.
C207_100_005 614.0999999999999.
C207_100_010 680.3.
C207_100_015 737.4.
C207_100_020 763.1999999999999.
C207_100_025 862.7999999999998.
C208_100_005 614.0999999999999.
