instance,BKS,Best ub,Avg ub,Avg time,Results Best ub,Results Avg ub,Results Avg time,Gap Best ub,Gap Avg ub,Gap Results Best,Gap Results Avg
22_1.0,782.5,782.5,782.5,0.3,782.5049,782.5049,1.1248,0.0,0.0,0.0006,0.0006
22_1.5,578.2,578.2,578.2,0.3,578.1885,578.1885,1.361,0.0,0.0,-0.002,-0.002
22_2.0,496.7,496.7,496.7,0.3,496.6764,496.6764,0.9004,0.0,0.0,-0.0048,-0.0048
22_2.5,442.4,442.4,442.4,0.3,442.4451,442.4451,0.6901,0.0,0.0,0.0102,0.0102
22_3.0,401.7,401.7,401.7,0.3,401.6767,401.6767,0.7057,0.0,0.0,-0.0058,-0.0058
26_1.0,872.4,872.4,872.4,0.4,872.438,872.438,1.2658,0.0,0.0,0.0044,0.0044
26_1.5,680.8,680.8,680.8,0.4,680.8477,680.8477,1.5244,0.0,0.0,0.007,0.007
26_2.0,566.5,566.5,566.5,0.4,566.4558,566.4558,1.0803,0.0,0.0,-0.0078,-0.0078
26_2.5,531.6,531.6,532.5,0.4,531.5861,538.6673,0.8721,0.0,0.1693,-0.0026,1.3294
26_3.0,493.8,493.8,494.4,0.4,493.7992,496.67,0.9578,0.0,0.1215,-0.0002,0.5812
30_1.0,656.0,656.0,656.0,0.8,656.0295,656.0295,2.6909,0.0,0.0,0.0045,0.0045
30_1.5,514.3,514.3,514.3,0.7,514.3354,514.3354,1.2375,0.0,0.0,0.0069,0.0069
30_2.0,489.0,489.0,489.0,0.7,488.9656,489.3475,1.0571,0.0,0.0,-0.007,0.0711
30_2.5,477.7,477.7,477.7,0.7,477.6598,477.6598,1.0225,0.0,0.0,-0.0084,-0.0084
30_3.0,477.7,477.7,477.7,0.7,475.0,475.0,0.9371,0.0,0.0,-0.5652,-0.5652
36_1.0,953.6,953.6,953.6,0.7,953.5697,953.5697,1.8368,0.0,0.0,-0.0032,-0.0032
36_1.5,749.8,749.8,749.8,0.8,749.8408,749.8408,1.9558,0.0,0.0,0.0054,0.0054
36_2.0,659.9,660.2,660.2,0.9,660.221,660.221,1.7222,0.0455,0.0455,0.0486,0.0486
36_2.5,584.9,584.9,584.9,0.9,584.8576,584.8576,1.6372,0.0,0.0,-0.0072,-0.0072
36_3.0,547.6,547.6,547.6,0.9,546.0,546.0,1.4026,0.0,0.0,-0.2922,-0.2922
45_1.0,891.8,891.8,891.8,2.2,891.7933,891.7933,4.3621,0.0,0.0,-0.0008,-0.0008
45_1.5,773.1,774.5,776.0,1.8,776.3558,776.3558,2.6221,0.1811,0.3751,0.4211,0.4211
