instance,seed,cost,time,pool
c0530,1,636.06059,6.347559786,392
c0530,2,636.0605899999999,2.558543534,377
c0530,3,636.06059,2.813579186,467
c0530,4,636.0605899999999,2.899503077,443
c0530,5,636.06059,2.664592727,443
c0530,6,636.0605899999999,3.011554704,474
c0530,7,636.0605899999999,2.693511708,360
c0530,8,636.06059,2.531249015,420
c0530,9,636.06059,2.946289821,493
c0530,10,636.0605899999999,2.79540785,392
c0531,1,697.835518,3.003144394,496
c0531,2,697.835518,2.667729159,443
c0531,3,697.835518,2.563943284,392
c0531,4,697.835518,2.548375682,323
c0531,5,697.835518,2.734153404,359
c0531,6,697.835518,2.664602155,534
c0531,7,697.8355179999999,2.979629258,571
c0531,8,697.835518,2.786674702,467
c0531,9,697.835518,2.761522446,444
c0531,10,697.835518,2.912133331,490
c0532,1,659.335981,2.801127301,292
c0532,2,659.335981,3.157484684,332
c0532,3,659.335981,2.881385377,364
c0532,4,659.335981,2.872425703,334
c0532,5,659.335981,2.649664297,322
c0532,6,659.335981,2.785028929,280
c0532,7,659.335981,2.684558739,270
c0532,8,659.335981,2.908881409,328
c0532,9,659.335981,2.790671148,292
c0532,10,659.335981,2.69176082,304
c0533,1,680.604414,2.847627908,478
c0533,2,680.041387,3.230336324,422
c0533,3,680.041387,3.363223694,426
c0533,4,680.6044139999999,3.229688941,410
c0533,5,680.604414,2.722704324,504
c0533,6,680.041387,2.497159335,397
c0533,7,680.041387,2.742416293,500
c0533,8,680.041387,3.089801383,449
c0533,9,680.604414,2.768486499,400
c0533,10,680.041387,2.987203326,480
c0534,1,690.499806,2.605139804,234
c0534,2,690.499806,2.421390271,204
c0534,3,690.499806,2.413561492,216
c0534,4,690.499806,2.607168012,196
c0534,5,690.499806,2.457569829,193
c0534,6,690.499806,3.118500263,338
c0534,7,690.499806,2.812448574,216
c0534,8,690.499806,2.479869169,199
c0534,9,690.499806,2.899579435,236
c0534,10,690.499806,2.679546804,212
c0535,1,659.9046989999999,3.076391293,399
c0535,2,659.9046989999999,2.921481067,427
c0535,3,659.9046989999999,2.980395664,453
c0535,4,659.9046989999999,3.06549747,515
c0535,5,661.069848,2.77666924,361
c0535,6,661.069848,2.887951671,481
c0535,7,659.9046989999999,2.823790521,447
c0535,8,661.069848,2.81777288,455
c0535,9,659.9046989999999,2.823933338,524
c0535,10,661.069848,2.771745045,440
c0536,1,651.087147,2.800800319,495
c0536,2,651.087147,2.452724974,358
c0536,3,651.087147,2.609983532,398
c0536,4,651.087147,2.838282237,517
c0536,5,651.087147,2.679339715,427
c0536,6,652.9418109999999,2.701061198,294
c0536,7,651.087147,2.724402362,358
c0536,8,651.087147,2.666819671,437
c0536,9,651.087147,2.950105864,474
c0536,10,651.087147,2.973131948,559
c0537,1,660.7786150000001,3.245361365,540
